Total live births
FRATNP  1961     838633.00
FRATNP  1962     832353.00
FRATNP  1963     868876.00
FRATNP  1964     877804.00
FRATNP  1965     865688.00
FRATNP  1966     863527.00
FRATNP  1967     840568.00
FRATNP  1968     835796.00
FRATNP  1969     842245.00
FRATNP  1970     850381.00
FRATNP  1971     881284.00
FRATNP  1972     877506.00
FRATNP  1973     857186.00
FRATNP  1974     801218.00
FRATNP  1975     745065.00
FRATNP  1976     720395.00
FRATNP  1977     744744.00
FRATNP  1978     737062.00
FRATNP  1979     757354.00
FRATNP  1980     800376.00
FRATNP  1981     805483.00
FRATNP  1982     797223.00
FRATNP  1983     748525.00
FRATNP  1984     759939.00
FRATNP  1985     768431.00
FRATNP  1986     778468.00
FRATNP  1987     767828.00
FRATNP  1988     771268.00
FRATNP  1989     765473.00
FRATNP  1990     762407.00
FRATNP  1991     759056.00
FRATNP  1992     743658.00
FRATNP  1993     711610.00
FRATNP  1994     710993.00
FRATNP  1995     729609.00
FRATNP  1996     734338.00
FRATNP  1997     726768.00
FRATNP  1998     738080.00
FRATNP  1999     744791.00
FRATNP  2000     774782.00
FRATNP  2001     770945.00
FRATNP  2002     761630.00
FRATNP  2003     761464.00
FRATNP  2004     767816.00
FRATNP  2005     774355.00
FRATNP  2006     796896.00
FRATNP  2007     785985.00
FRATNP  2008     796044.00
FRATNP  2009     793420.00
FRATNP  2010     802224.00
FRATNP  2011     792996.00
FRATNP  2012     790290.00
DEUTNP  1956    1137168.99
DEUTNP  1957    1165555.07
DEUTNP  1958    1175870.05
DEUTNP  1959    1243922.00
DEUTNP  1960    1261614.03
DEUTNP  1961    1313504.93
DEUTNP  1962    1316534.00
DEUTNP  1963    1355595.00
DEUTNP  1964    1357303.99
DEUTNP  1965    1325386.03
DEUTNP  1966    1318303.04
DEUTNP  1967    1272275.99
DEUTNP  1968    1214968.03
DEUTNP  1969    1142366.01
DEUTNP  1970    1047736.95
DEUTNP  1971    1013396.01
DEUTNP  1972     901657.00
DEUTNP  1973     815968.97
DEUTNP  1974     805500.03
DEUTNP  1975     782309.98
DEUTNP  1976     798334.00
DEUTNP  1977     805495.98
DEUTNP  1978     808618.99
DEUTNP  1979     817217.01
DEUTNP  1980     865789.00
DEUTNP  1981     862100.05
DEUTNP  1982     861275.01
DEUTNP  1983     827932.98
DEUTNP  1984     812291.99
DEUTNP  1985     813803.03
DEUTNP  1986     848231.99
DEUTNP  1987     867969.01
DEUTNP  1988     892993.03
DEUTNP  1989     880459.01
DEUTNP  1990     905674.99
DEUTNP  1991     830019.03
DEUTNP  1992     809113.96
DEUTNP  1993     798447.01
DEUTNP  1994     769603.02
DEUTNP  1995     765221.00
DEUTNP  1996     796012.99
DEUTNP  1997     812173.01
DEUTNP  1998     785034.02
DEUTNP  1999     770744.01
DEUTNP  2000     766999.01
DEUTNP  2001     734474.99
DEUTNP  2002     719249.97
DEUTNP  2003     706721.00
DEUTNP  2004     705622.02
DEUTNP  2005     685795.00
DEUTNP  2006     672724.00
DEUTNP  2007     684862.00
DEUTNP  2008     682514.00
DEUTNP  2009     665126.00
DEUTNP  2010     677947.00
DEUTW  1956     855887.04
DEUTW  1957     892228.01
DEUTW  1958     904465.04
DEUTW  1959     951941.99
DEUTW  1960     968629.02
DEUTW  1961    1012687.04
DEUTW  1962    1018552.02
DEUTW  1963    1054123.01
DEUTW  1964    1065437.01
DEUTW  1965    1044327.98
DEUTW  1966    1050344.99
DEUTW  1967    1019459.00
DEUTW  1968     969824.98
DEUTW  1969     903455.98
DEUTW  1970     810807.99
DEUTW  1971     778525.99
DEUTW  1972     701213.97
DEUTW  1973     635632.99
DEUTW  1974     626372.97
DEUTW  1975     600512.00
DEUTW  1976     602850.98
DEUTW  1977     582343.99
DEUTW  1978     576467.98
DEUTW  1979     581984.00
DEUTW  1980     620656.99
DEUTW  1981     624556.99
DEUTW  1982     621173.01
DEUTW  1983     594177.03
DEUTW  1984     584156.99
DEUTW  1985     586155.01
DEUTW  1986     625963.02
DEUTW  1987     642010.02
DEUTW  1988     677259.01
DEUTW  1989     681537.02
DEUTW  1990     705048.99
DEUTW  1991     700399.99
DEUTW  1992     698906.01
DEUTW  1993     696713.00
DEUTW  1994     669988.00
DEUTW  1995     660841.00
DEUTW  1996     681456.98
DEUTW  1997     690711.01
DEUTW  1998     661719.97
DEUTW  1999     643885.99
DEUTW  2000     636101.99
DEUTW  2001     607824.02
DEUTW  2002     594099.01
DEUTW  2003     581366.99
DEUTW  2004     577291.99
DEUTW  2005     560091.99
DEUTW  2006     546691.01
DEUTW  2007     553891.98
DEUTW  2008     549231.99
DEUTW  2009     533380.00
DEUTW  2010     542345.00
DEUTE  1956     281282.01
DEUTE  1957     273326.99
DEUTE  1958     271404.99
DEUTE  1959     291980.01
DEUTE  1960     292985.00
DEUTE  1961     300817.99
DEUTE  1962     297981.99
DEUTE  1963     301471.99
DEUTE  1964     291867.00
DEUTE  1965     281057.97
DEUTE  1966     267957.99
DEUTE  1967     252817.02
DEUTE  1968     245142.99
DEUTE  1969     238909.98
DEUTE  1970     236929.00
DEUTE  1971     234870.02
DEUTE  1972     200443.01
DEUTE  1973     180336.02
DEUTE  1974     179127.00
DEUTE  1975     181798.05
DEUTE  1976     195482.99
DEUTE  1977     223152.00
DEUTE  1978     232151.01
DEUTE  1979     235233.02
DEUTE  1980     245132.02
DEUTE  1981     237543.03
DEUTE  1982     240102.00
DEUTE  1983     233756.01
DEUTE  1984     228134.99
DEUTE  1985     227648.01
DEUTE  1986     222268.99
DEUTE  1987     225959.01
DEUTE  1988     215734.01
DEUTE  1989     198921.98
DEUTE  1990     163030.01
DEUTE  1991      99057.01
DEUTE  1992      80541.02
DEUTE  1993      73009.99
DEUTE  1994      71112.01
DEUTE  1995      75731.99
DEUTE  1996      84651.01
DEUTE  1997      91093.00
DEUTE  1998      93701.99
DEUTE  1999      97002.00
DEUTE  2000     101202.00
DEUTE  2001      98027.00
DEUTE  2002      96350.00
DEUTE  2003      96631.01
DEUTE  2004      98884.00
DEUTE  2005      96727.00
DEUTE  2006      96406.00
DEUTE  2007      99795.98
DEUTE  2008     101346.02
DEUTE  2009      99641.98
DEUTE  2010     102209.01
HUN  1950     195567.01
HUN  1951     190644.93
HUN  1952     185819.99
HUN  1953     206925.97
HUN  1954     223347.03
HUN  1955     210430.01
HUN  1956     192809.95
HUN  1957     167201.97
HUN  1958     158427.98
HUN  1959     151194.03
HUN  1960     146460.99
HUN  1961     140365.04
HUN  1962     130053.01
HUN  1963     132335.00
HUN  1964     132141.01
HUN  1965     133009.00
HUN  1966     138489.00
HUN  1967     148885.99
HUN  1968     154419.00
HUN  1969     154318.01
HUN  1970     151819.00
HUN  1971     150640.00
HUN  1972     153265.00
HUN  1973     156223.00
HUN  1974     186288.00
HUN  1975     194240.00
HUN  1976     185405.00
HUN  1977     177574.00
HUN  1978     168160.00
HUN  1979     160364.00
HUN  1980     148673.00
HUN  1981     142890.00
HUN  1982     133559.00
HUN  1983     127258.00
HUN  1984     125359.00
HUN  1985     130200.00
HUN  1986     128204.00
HUN  1987     125840.00
HUN  1988     124296.00
HUN  1989     123304.00
HUN  1990     125679.00
HUN  1991     127207.00
HUN  1992     121724.00
HUN  1993     117033.00
HUN  1994     115598.00
HUN  1995     112054.00
HUN  1996     105272.00
HUN  1997     100350.00
HUN  1998      97300.00
HUN  1999      94645.00
HUN  2000      97597.00
HUN  2001      97047.00
HUN  2002      96804.00
HUN  2003      94647.00
HUN  2004      95137.00
HUN  2005      97496.00
HUN  2006      99871.00
HUN  2007      97613.00
HUN  2008      99149.00
HUN  2009      96442.00
ISL  1963       4820.00
ISL  1964       4787.00
ISL  1965       4721.00
ISL  1966       4692.00
ISL  1967       4403.99
ISL  1968       4226.99
ISL  1969       4218.00
ISL  1970       4023.00
ISL  1971       4277.00
ISL  1972       4675.99
ISL  1973       4598.01
ISL  1974       4276.00
ISL  1975       4384.00
ISL  1976       4291.00
ISL  1977       3996.00
ISL  1978       4162.00
ISL  1979       4475.00
ISL  1980       4528.01
ISL  1981       4345.00
ISL  1982       4337.01
ISL  1983       4370.99
ISL  1984       4113.01
ISL  1985       3855.99
ISL  1986       3881.00
ISL  1987       4193.01
ISL  1988       4673.00
ISL  1989       4560.00
ISL  1990       4768.00
ISL  1991       4533.00
ISL  1992       4609.00
ISL  1993       4623.00
ISL  1994       4442.00
ISL  1995       4280.00
ISL  1996       4329.00
ISL  1997       4151.00
ISL  1998       4178.00
ISL  1999       4100.00
ISL  2000       4315.00
ISL  2001       4091.00
ISL  2002       4049.00
ISL  2003       4143.00
ISL  2004       4234.00
ISL  2005       4280.00
ISL  2006       4415.45
ISL  2007       4560.55
ISL  2008       4835.00
ISL  2009       5025.00
ISL  2010       4907.00
JPN  1947    2678792.01
JPN  1948    2681624.02
JPN  1949    2696638.03
JPN  1950    2337506.99
JPN  1951    2137689.05
JPN  1952    2005161.97
JPN  1953    1868039.99
JPN  1954    1769580.03
JPN  1955    1730691.97
JPN  1956    1665277.99
JPN  1957    1566713.00
JPN  1958    1653469.00
JPN  1959    1626088.01
JPN  1960    1606040.94
JPN  1961    1589372.04
JPN  1962    1618616.01
JPN  1963    1659520.97
JPN  1964    1716760.98
JPN  1965    1823696.98
JPN  1966    1360974.02
JPN  1967    1935646.99
JPN  1968    1871839.03
JPN  1969    1889814.99
JPN  1970    1934239.05
JPN  1971    2000972.98
JPN  1972    2038681.99
JPN  1973    2091982.98
JPN  1974    2029988.98
JPN  1975    1901439.98
JPN  1976    1832617.04
JPN  1977    1755100.01
JPN  1978    1708643.01
JPN  1979    1642580.00
JPN  1980    1576888.97
JPN  1981    1529454.96
JPN  1982    1515392.01
JPN  1983    1508686.98
JPN  1984    1489779.97
JPN  1985    1431577.00
JPN  1986    1382945.99
JPN  1987    1346658.03
JPN  1988    1314006.03
JPN  1989    1246802.01
JPN  1990    1221585.00
JPN  1991    1223245.00
JPN  1992    1208989.05
JPN  1993    1188282.04
JPN  1994    1238328.00
JPN  1995    1187064.04
JPN  1996    1206554.97
JPN  1997    1191665.02
JPN  1998    1203147.01
JPN  1999    1177669.02
JPN  2000    1190547.03
JPN  2001    1170662.02
JPN  2002    1153854.97
JPN  2003    1123610.00
JPN  2004    1110721.06
JPN  2005    1062530.00
JPN  2006    1092674.04
JPN  2007    1089818.00
JPN  2008    1091156.00
JPN  2009    1070035.00
LTU  1959      62240.99
LTU  1960      62484.93
LTU  1961      62775.01
LTU  1962      59728.00
LTU  1963      57023.99
LTU  1964      55855.97
LTU  1965      53818.03
LTU  1966      54275.03
LTU  1967      53805.99
LTU  1968      54258.00
LTU  1969      54263.00
LTU  1970      55519.00
LTU  1971      56044.01
LTU  1972      54616.00
LTU  1973      51943.99
LTU  1974      51941.00
LTU  1975      51765.99
LTU  1976      52295.99
LTU  1977      52166.00
LTU  1978      51820.99
LTU  1979      51936.96
LTU  1980      51764.97
LTU  1981      52248.98
LTU  1982      53141.00
LTU  1983      57589.00
LTU  1984      57575.98
LTU  1985      58453.99
LTU  1986      59705.00
LTU  1987      59360.00
LTU  1988      56726.99
LTU  1989      55781.97
LTU  1990      56867.99
LTU  1991      56018.99
LTU  1992      54417.00
LTU  1993      47464.01
LTU  1994      42375.97
LTU  1995      41194.99
LTU  1996      39065.99
LTU  1997      37811.97
LTU  1998      37018.98
LTU  1999      36414.98
LTU  2000      34148.98
LTU  2001      31185.01
LTU  2002      29541.00
LTU  2003      29976.99
LTU  2004      29768.96
LTU  2005      29509.99
LTU  2006      29606.01
LTU  2007      30020.00
LTU  2008      31535.98
LTU  2009      32164.97
LTU  2010      30675.98
LTU  2011      30268.00
NLD  1950     229718.02
NLD  1951     228407.02
NLD  1952     231888.00
NLD  1953     227964.01
NLD  1954     228172.99
NLD  1955     229221.99
NLD  1956     231492.00
NLD  1957     233891.99
NLD  1958     236859.00
NLD  1959     242517.99
NLD  1960     239128.01
NLD  1961     247407.00
NLD  1962     246149.99
NLD  1963     249878.99
NLD  1964     250913.98
NLD  1965     245216.01
NLD  1966     239610.99
NLD  1967     238678.00
NLD  1968     237112.00
NLD  1969     247587.99
NLD  1970     238912.01
NLD  1971     227180.00
NLD  1972     214133.02
NLD  1973     194992.99
NLD  1974     185982.01
NLD  1975     177876.01
NLD  1976     177089.99
NLD  1977     173296.00
NLD  1978     175550.00
NLD  1979     174978.99
NLD  1980     181294.02
NLD  1981     178569.01
NLD  1982     172071.01
NLD  1983     170246.00
NLD  1984     174435.99
NLD  1985     178136.01
NLD  1986     184513.01
NLD  1987     186666.99
NLD  1988     186647.01
NLD  1989     188978.99
NLD  1990     197965.00
NLD  1991     198665.00
NLD  1992     196734.00
NLD  1993     195748.01
NLD  1994     195611.03
NLD  1995     190512.99
NLD  1996     189521.00
NLD  1997     192443.00
NLD  1998     199407.98
NLD  1999     200445.02
NLD  2000     206618.98
NLD  2001     202602.99
NLD  2002     202082.99
NLD  2003     200297.00
NLD  2004     194007.00
NLD  2005     187910.02
NLD  2006     185056.98
NLD  2007     181336.00
NLD  2008     184633.97
NLD  2009     184914.99
NOR  1967      66127.00
NOR  1968      67340.02
NOR  1969      67731.97
NOR  1970      64558.98
NOR  1971      65545.99
NOR  1972      64258.99
NOR  1973      61205.95
NOR  1974      59602.96
NOR  1975      56342.95
NOR  1976      53472.99
NOR  1977      50875.95
NOR  1978      51749.00
NOR  1979      51578.99
NOR  1980      51038.97
NOR  1981      50705.98
NOR  1982      51244.03
NOR  1983      49937.00
NOR  1984      50274.01
NOR  1985      51125.97
NOR  1986      52513.03
NOR  1987      54017.99
NOR  1988      57517.96
NOR  1989      59303.00
NOR  1990      60938.01
NOR  1991      60806.97
NOR  1992      60108.02
NOR  1993      59676.99
NOR  1994      60092.02
NOR  1995      60286.99
NOR  1996      60923.99
NOR  1997      59795.93
NOR  1998      58349.95
NOR  1999      59297.96
NOR  2000      59233.99
NOR  2001      56695.97
NOR  2002      55434.03
NOR  2003      56457.99
NOR  2004      56950.94
NOR  2005      56755.99
NOR  2006      58544.99
NOR  2007      58458.97
NOR  2008      60496.98
NOR  2009      61806.99
PRT  1940     187891.98
PRT  1941     184335.99
PRT  1942     187502.98
PRT  1943     198100.97
PRT  1944     201373.01
PRT  1945     209130.96
PRT  1946     205825.02
PRT  1947     200487.98
PRT  1948     220981.03
PRT  1949     212260.03
PRT  1950     205163.02
PRT  1951     207870.05
PRT  1952     211212.97
PRT  1953     202135.01
PRT  1954     197536.03
PRT  1955     209790.01
PRT  1956     202667.00
PRT  1957     211493.99
PRT  1958     212467.00
PRT  1959     213062.01
PRT  1960     213895.04
PRT  1961     217515.99
PRT  1962     220199.99
PRT  1963     212152.03
PRT  1964     217136.01
PRT  1965     210299.03
PRT  1966     206939.95
PRT  1967     202060.99
PRT  1968     194962.05
PRT  1969     189739.02
PRT  1970     180690.00
PRT  1971     181242.99
PRT  1972     174685.00
PRT  1973     172324.01
PRT  1974     171978.96
PRT  1975     179648.00
PRT  1976     186711.98
PRT  1977     181063.98
PRT  1978     167467.01
PRT  1979     160311.01
PRT  1980     158308.97
PRT  1981     152071.02
PRT  1982     151001.98
PRT  1983     144295.94
PRT  1984     142782.94
PRT  1985     130449.97
PRT  1986     126715.00
PRT  1987     123179.02
PRT  1988     122093.00
PRT  1989     118482.99
PRT  1990     116320.98
PRT  1991     116298.98
PRT  1992     114924.02
PRT  1993     113960.02
PRT  1994     109226.93
PRT  1995     107096.97
PRT  1996     110260.99
PRT  1997     112932.96
PRT  1998     113384.00
PRT  1999     116002.00
PRT  2000     120008.00
PRT  2001     112773.96
PRT  2002     114382.99
PRT  2003     112514.96
PRT  2004     109297.94
PRT  2005     109398.95
PRT  2006     105448.95
PRT  2007     102491.96
PRT  2008     104594.06
PRT  2009      99490.97
PRT  2010     101381.00
PRT  2011      96856.00
PRT  2012      89841.00
RUS  1959    2796227.99
RUS  1960    2782352.98
RUS  1961    2662135.00
RUS  1962    2482539.01
RUS  1963    2331504.99
RUS  1964    2121994.00
RUS  1965    1990519.98
RUS  1966    1957762.98
RUS  1967    1851041.00
RUS  1968    1816508.93
RUS  1969    1847592.03
RUS  1970    1903712.98
RUS  1971    1974636.99
RUS  1972    2014638.02
RUS  1973    1994621.02
RUS  1974    2079812.02
RUS  1975    2106147.03
RUS  1976    2146711.01
RUS  1977    2156724.03
RUS  1978    2179030.04
RUS  1979    2178542.00
RUS  1980    2202778.97
