Cohort parity progression ratios
Last modified: 25/09/2014
Code Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
CAN  1929      0.934     0.862     0.743     0.657
CAN  1930      0.952     0.861     0.743     0.651
CAN  1931      0.956     0.862     0.742     0.643
CAN  1932      0.956     0.860     0.740     0.633
CAN  1933      0.951     0.859     0.734     0.622
CAN  1934      0.946     0.860     0.725     0.611
CAN  1935      0.941     0.862     0.713     0.596
CAN  1936      0.936     0.862     0.698     0.578
CAN  1937      0.937     0.861     0.682     0.556
CAN  1938      0.940     0.860     0.662     0.531
CAN  1939      0.948     0.854     0.639     0.504
CAN  1940      0.952     0.846     0.607     0.475
CAN  1941      0.952     0.833     0.570     0.443
CAN  1942      0.958     0.816     0.536     0.416
CAN  1943      0.947     0.805     0.504     0.391
CAN  1944      0.910     0.804     0.479     0.368
CAN  1945      0.896     0.795     0.459     0.349
CAN  1946      0.929     0.780     0.440     0.329
CAN  1947      0.931     0.777     0.424     0.313
CAN  1948      0.899     0.780     0.417     0.302
CAN  1949      0.877     0.782     0.411     0.293
CAN  1950      0.861     0.783     0.407     0.288
CAN  1951      0.847     0.787     0.404     0.286
CAN  1952      0.839     0.792     0.401     0.286
CAN  1953      0.838     0.787     0.400     0.285
CAN  1954      0.839     0.777     0.400     0.285
CAN  1955      0.836     0.776     0.398     0.286
CAN  1956      0.833     0.775     0.399     0.286
CAN  1957      0.832     0.777     0.398     0.288
CAN  1958      0.829     0.782     0.397     0.289
CAN  1959      0.827     0.785     0.399     0.290
CZE  1935      0.926     0.798     0.390     0.318
CZE  1936      0.922     0.802     0.376     0.314
CZE  1937      0.929     0.801     0.374     0.309
CZE  1938      0.925     0.805     0.370     0.303
CZE  1939      0.925     0.812     0.366     0.293
CZE  1940      0.939     0.810     0.358     0.291
CZE  1941      0.928     0.811     0.350     0.282
CZE  1942      0.922     0.813     0.345     0.268
CZE  1943      0.936     0.816     0.339     0.262
CZE  1944      0.930     0.818     0.334     0.254
CZE  1945      0.917     0.824     0.334     0.251
CZE  1946      0.934     0.832     0.333     0.242
CZE  1947      0.939     0.845     0.331     0.237
CZE  1948      0.932     0.850     0.338     0.237
CZE  1949      0.933     0.857     0.339     0.237
CZE  1950      0.940     0.856     0.337     0.232
CZE  1951      0.939     0.858     0.335     0.232
CZE  1952      0.939     0.860     0.328     0.230
CZE  1953      0.937     0.860     0.320     0.230
CZE  1954      0.940     0.853     0.317     0.226
CZE  1955      0.941     0.851     0.314     0.230
CZE  1956      0.943     0.850     0.310     0.229
CZE  1957      0.941     0.851     0.307     0.228
CZE  1958      0.934     0.851     0.303     0.232
CZE  1959      0.935     0.845     0.296     0.230
CZE  1960      0.938     0.836     0.292     0.239
CZE  1961      0.937     0.833     0.289     0.238
EST  1944      0.913     0.709     0.318     0.308
EST  1945      0.902     0.729     0.292     0.319
EST  1946      0.934     0.706     0.293     0.287
EST  1947      0.941     0.713     0.289     0.291
EST  1948      0.940     0.714     0.295     0.292
EST  1949      0.959     0.728     0.301     0.315
EST  1950      0.956     0.723     0.299     0.287
EST  1951      0.973     0.729     0.292     0.295
EST  1952      0.946     0.723     0.304     0.287
EST  1953      0.950     0.729     0.300     0.295
EST  1954      0.942     0.737     0.315     0.303
EST  1955      0.939     0.743     0.314     0.294
EST  1956      0.963     0.740     0.311     0.297
EST  1957      0.969     0.732     0.320     0.298
EST  1958      0.978     0.726     0.319     0.302
EST  1959      0.992     0.721     0.324     0.291
EST  1960      0.997     0.714     0.324     0.298
EST  1961      0.965     0.707     0.328     0.307
EST  1962      0.953     0.703     0.336     0.313
HUN  1937      0.913     0.706     0.346     0.391
HUN  1938      0.909     0.706     0.329     0.398
HUN  1939      0.909     0.707     0.323     0.377
HUN  1940      0.910     0.714     0.317     0.361
HUN  1941      0.917     0.717     0.308     0.357
HUN  1942      0.908     0.722     0.299     0.344
HUN  1943      0.918     0.732     0.294     0.327
HUN  1944      0.914     0.744     0.293     0.316
HUN  1945      0.907     0.752     0.292     0.306
HUN  1946      0.913     0.756     0.286     0.301
HUN  1947      0.917     0.764     0.287     0.289
HUN  1948      0.915     0.777     0.291     0.295
HUN  1949      0.916     0.790     0.294     0.300
HUN  1950      0.913     0.790     0.290     0.289
HUN  1951      0.919     0.793     0.291     0.287
HUN  1952      0.914     0.795     0.289     0.290
HUN  1953      0.913     0.787     0.286     0.273
HUN  1954      0.917     0.785     0.283     0.278
HUN  1955      0.917     0.787     0.288     0.286
HUN  1956      0.922     0.789     0.294     0.288
HUN  1957      0.927     0.793     0.310     0.312
HUN  1958      0.929     0.791     0.311     0.300
HUN  1959      0.930     0.789     0.320     0.307
JPN  1953      0.887     0.867     0.367     0.144
JPN  1954      0.882     0.868     0.374     0.144
JPN  1955      0.879     0.865     0.377     0.145
JPN  1956      0.867     0.860     0.379     0.146
JPN  1957      0.858     0.855     0.378     0.147
JPN  1958      0.858     0.848     0.376     0.147
JPN  1959      0.846     0.840     0.373     0.149
LTU  1955      0.944     0.750     0.277     0.293
LTU  1956      0.949     0.749     0.276     0.296
LTU  1957      0.962     0.733     0.274     0.310
LTU  1958      0.973     0.706     0.275     0.310
LTU  1959      0.989     0.693     0.273     0.293
LTU  1960      0.965     0.694     0.270     0.294
LTU  1961      0.914     0.699     0.277     0.300
NLD  1935      0.883     0.884     0.584     0.460
NLD  1936      0.881     0.886     0.557     0.446
NLD  1937      0.898     0.879     0.538     0.410
NLD  1938      0.879     0.885     0.515     0.391
NLD  1939      0.884     0.883     0.487     0.361
NLD  1940      0.881     0.886     0.457     0.332
NLD  1941      0.900     0.866     0.432     0.316
NLD  1942      0.889     0.857     0.412     0.306
NLD  1943      0.897     0.849     0.378     0.291
NLD  1944      0.895     0.848     0.357     0.277
NLD  1945      0.883     0.845     0.336     0.279
NLD  1946      0.883     0.834     0.313     0.261
NLD  1947      0.872     0.835     0.307     0.259
NLD  1948      0.872     0.827     0.311     0.266
NLD  1949      0.861     0.824     0.313     0.264
NLD  1950      0.854     0.823     0.328     0.284
NLD  1951      0.847     0.821     0.330     0.270
NLD  1952      0.841     0.819     0.340     0.280
NLD  1953      0.837     0.816     0.348     0.283
NLD  1954      0.835     0.816     0.360     0.281
NLD  1955      0.829     0.817     0.367     0.283
NLD  1956      0.830     0.817     0.374     0.279
NLD  1957      0.828     0.819     0.378     0.273
NLD  1958      0.823     0.820     0.380     0.278
NLD  1959      0.823     0.815     0.377     0.274
NOR  1952      0.891     0.845     0.413     0.249
NOR  1953      0.886     0.841     0.411     0.250
NOR  1954      0.882     0.842     0.421     0.260
NOR  1955      0.882     0.842     0.432     0.244
NOR  1956      0.882     0.840     0.435     0.250
NOR  1957      0.878     0.841     0.446     0.253
NOR  1958      0.877     0.842     0.458     0.257
NOR  1959      0.880     0.839     0.468     0.253
PRT  1944      0.989     0.736     0.484     0.518
PRT  1945      0.980     0.733     0.463     0.494
PRT  1946      0.982     0.729     0.442     0.477
PRT  1947      0.974     0.718     0.425     0.455
PRT  1948      0.963     0.720     0.412     0.445
PRT  1949      0.945     0.719     0.396     0.435
PRT  1950      0.944     0.716     0.380     0.422
PRT  1951      0.938     0.723     0.370     0.415
PRT  1952      0.934     0.730     0.365     0.399
PRT  1953      0.934     0.727     0.355     0.400
PRT  1954      0.946     0.712     0.351     0.386
PRT  1955      0.971     0.703     0.339     0.366
PRT  1956      0.970     0.700     0.339     0.365
PRT  1957      0.964     0.693     0.326     0.361
PRT  1958      0.972     0.690     0.321     0.355
PRT  1959      0.962     0.681     0.315     0.339
PRT  1960      0.959     0.673     0.301     0.336
PRT  1961      0.948     0.677     0.296     0.314
PRT  1962      0.969     0.668     0.284     0.306
RUS  1944      0.920     0.658     0.275     0.353
RUS  1945      0.919     0.646     0.266     0.339
RUS  1946      0.949     0.650     0.262     0.328
RUS  1947      0.907     0.663     0.259     0.321
RUS  1948      0.915     0.667     0.259     0.321
RUS  1949      0.963     0.672     0.267     0.313
RUS  1950      0.936     0.682     0.273     0.314
RUS  1951      0.944     0.696     0.276     0.306
RUS  1952      0.931     0.706     0.278     0.303
RUS  1953      0.920     0.714     0.279     0.295
RUS  1954      0.934     0.717     0.278     0.286
RUS  1955      0.914     0.726     0.275     0.283
RUS  1956      0.912     0.728     0.272     0.281
RUS  1957      0.932     0.724     0.268     0.276
RUS  1958      0.936     0.713     0.265     0.273
RUS  1959      0.944     0.705     0.258     0.271
RUS  1960      0.949     0.695     0.253     0.269
SVK  1935      0.906     0.894     0.594     0.488
SVK  1936      0.899     0.897     0.583     0.489
SVK  1937      0.909     0.900     0.579     0.471
SVK  1938      0.907     0.894     0.577     0.464
SVK  1939      0.912     0.891     0.567     0.455
SVK  1940      0.907     0.892     0.547     0.436
SVK  1941      0.901     0.890     0.537     0.419
SVK  1942      0.897     0.893     0.534     0.402
SVK  1943      0.905     0.894     0.526     0.401
SVK  1944      0.901     0.887     0.522     0.392
SVK  1945      0.883     0.892     0.514     0.382
SVK  1946      0.903     0.893     0.498     0.373
SVK  1947      0.909     0.891     0.492     0.362
SVK  1948      0.905     0.889     0.494     0.353
SVK  1949      0.902     0.888     0.488     0.348
SVK  1950      0.903     0.879     0.482     0.344
SVK  1951      0.899     0.882     0.468     0.343
SVK  1952      0.903     0.882     0.459     0.341
SVK  1953      0.896     0.879     0.454     0.331
SVK  1954      0.898     0.878     0.446     0.330
SVK  1955      0.905     0.873     0.435     0.331
SVK  1956      0.900     0.876     0.432     0.322
SVK  1957      0.902     0.871     0.428     0.322
SVK  1958      0.902     0.866     0.423     0.327
SVK  1959      0.901     0.857     0.423     0.332
SWE  1955      0.872     0.829     0.432     0.286
SWE  1956      0.870     0.830     0.438     0.293
SWE  1957      0.870     0.838     0.439     0.290
SWE  1958      0.870     0.837     0.442     0.287
SWE  1959      0.866     0.840     0.440     0.292
SWE  1960      0.866     0.845     0.440     0.294
SWE  1961      0.862     0.845     0.422     0.297
USA  1918      0.819     0.806     0.631     0.581
USA  1919      0.835     0.812     0.643     0.583
USA  1920      0.856     0.825     0.653     0.588
USA  1921      0.865     0.832     0.656     0.589
USA  1922      0.867     0.843     0.658     0.591
USA  1923      0.877     0.851     0.665     0.595
USA  1924      0.890     0.859     0.675     0.602
USA  1925      0.891     0.864     0.686     0.607
USA  1926      0.899     0.859     0.696     0.615
USA  1927      0.912     0.856     0.709     0.620
USA  1928      0.904     0.867     0.719     0.623
USA  1929      0.904     0.884     0.725     0.630
USA  1930      0.912     0.895     0.732     0.630
USA  1931      0.915     0.897     0.733     0.629
USA  1932      0.922     0.898     0.733     0.628
USA  1933      0.928     0.898     0.733     0.624
USA  1934      0.937     0.897     0.732     0.618
USA  1935      0.939     0.894     0.726     0.609
USA  1936      0.933     0.890     0.716     0.599
USA  1937      0.934     0.885     0.704     0.583
USA  1938      0.934     0.882     0.688     0.565
USA  1939      0.930     0.876     0.671     0.549
USA  1940      0.925     0.869     0.650     0.528
USA  1941      0.921     0.859     0.621     0.506
USA  1942      0.915     0.849     0.590     0.484
USA  1943      0.907     0.840     0.565     0.464
USA  1944      0.894     0.829     0.543     0.451
USA  1945      0.889     0.820     0.521     0.436
USA  1946      0.887     0.807     0.497     0.412
USA  1947      0.882     0.797     0.479     0.397
USA  1948      0.872     0.792     0.471     0.390
USA  1949      0.858     0.789     0.467     0.385
USA  1950      0.850     0.785     0.465     0.378
USA  1951      0.844     0.781     0.461     0.372
USA  1952      0.839     0.780     0.459     0.369
USA  1953      0.835     0.779     0.461     0.369
USA  1954      0.835     0.779     0.464     0.369
USA  1955      0.837     0.779     0.466     0.369
USA  1956      0.838     0.780     0.467     0.369
USA  1957      0.837     0.781     0.471     0.369
USA  1958      0.839     0.782     0.473     0.369
USA  1959      0.844     0.782     0.475     0.371
USA  1960      0.846     0.782     0.478     0.372
UKR  1944      0.910     0.706     0.281     0.306
UKR  1945      0.919     0.700     0.268     0.299
UKR  1946      0.944     0.692     0.258     0.285
UKR  1947      0.970     0.674     0.246     0.276
UKR  1948      0.983     0.672     0.240     0.282
UKR  1949      0.985     0.688     0.244     0.283
UKR  1950      0.977     0.691     0.241     0.281
UKR  1951      0.973     0.706     0.240     0.280
UKR  1952      0.962     0.705     0.238     0.270
UKR  1953      0.951     0.696     0.238     0.261
UKR  1954      0.936     0.713     0.237     0.264
UKR  1955      0.930     0.716     0.236     0.264
UKR  1956      0.927     0.719     0.231     0.264
UKR  1957      0.942     0.714     0.228     0.267
UKR  1958      0.964     0.697     0.226     0.266
UKR  1959      0.968     0.693     0.220     0.267
