Crude birth rate by birth order
Last modified: 25/09/2014
Code Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
CAN  1955    27.90     7.56     6.71     4.95     3.16     5.51
CAN  1956    27.69     7.42     6.64     4.93     3.17     5.54
CAN  1957    27.96     7.60     6.59     4.98     3.21     5.58
CAN  1958    27.29     7.38     6.42     4.82     3.18     5.50
CAN  1959    27.18     7.21     6.43     4.82     3.21     5.50
CAN  1960    26.54     6.96     6.23     4.78     3.14     5.43
CAN  1961    25.82     6.69     5.99     4.66     3.10     5.38
CAN  1962    25.04     6.48     5.82     4.47     3.03     5.24
CAN  1963    24.34     6.43     5.64     4.36     2.90     5.03
CAN  1964    23.25     6.44     5.48     4.12     2.69     4.52
CAN  1965    21.03     6.32     5.02     3.58     2.32     3.79
CAN  1966    19.10     6.33     4.74     3.09     1.90     3.04
CAN  1967    17.98     6.47     4.61     2.78     1.64     2.49
CAN  1968    17.38     6.57     4.65     2.63     1.45     2.08
CAN  1969    17.38     6.70     4.78     2.64     1.39     1.87
CAN  1970    17.19     6.87     4.81     2.61     1.28     1.62
CAN  1971    16.36     6.65     4.79     2.43     1.15     1.34
CAN  1972    15.42     6.46     4.77     2.20     0.96     1.03
CAN  1973    15.09     6.55     4.87     2.07     0.81     0.80
CAN  1974    15.07     6.62     5.02     2.04     0.74     0.63
CAN  1975    15.42     6.75     5.23     2.15     0.73     0.55
CAN  1976    15.25     6.65     5.30     2.14     0.68     0.48
CAN  1977    15.20     6.82     5.23     2.12     0.63     0.40
CAN  1978    14.91     6.69     5.18     2.07     0.61     0.36
CAN  1979    15.05     6.71     5.23     2.17     0.61     0.34
CAN  1980    15.05     6.81     5.21     2.12     0.60     0.31
CAN  1981    14.90     6.77     5.14     2.09     0.60     0.30
CAN  1982    14.84     6.74     5.09     2.10     0.61     0.31
CAN  1983    14.72     6.67     5.08     2.07     0.60     0.29
CAN  1984    14.73     6.53     5.20     2.10     0.60     0.29
CAN  1985    14.53     6.35     5.18     2.11     0.61     0.29
CAN  1986    14.28     6.21     5.09     2.09     0.61     0.28
CAN  1987    14.00     6.04     5.02     2.05     0.60     0.29
CAN  1988    14.07     6.16     4.96     2.06     0.60     0.29
CAN  1989    14.43     6.34     5.02     2.14     0.63     0.30
CAN  1990    14.69     6.49     5.11     2.14     0.64     0.31
CAN  1991    14.37     6.29     4.98     2.13     0.65     0.32
CAN  1992    14.06     6.07     4.97     2.08     0.63     0.32
CAN  1993    13.55     5.86     4.78     1.98     0.61     0.31
CAN  1994    13.29     5.73     4.70     1.93     0.61     0.32
CAN  1995    12.90     5.58     4.55     1.86     0.59     0.32
CAN  1996    12.37     5.34     4.38     1.78     0.57     0.31
CAN  1997    11.66     5.02     4.17     1.65     0.52     0.30
CAN  1998    11.36     4.91     4.08     1.57     0.50     0.29
CAN  1999    11.09     4.87     3.94     1.52     0.48     0.28
CAN  2000    10.68     4.73     3.75     1.46     0.47     0.28
CAN  2001    10.76     4.69     3.89     1.45     0.46     0.28
CAN  2002    10.49     4.63     3.74     1.39     0.45     0.28
CAN  2003    10.59     4.76     3.71     1.41     0.44     0.28
CAN  2004    10.55     4.77     3.70     1.38     0.44     0.27
CAN  2005    10.61     4.77     3.73     1.39     0.44     0.28
CAN  2006    10.88     4.87     3.86     1.41     0.46     0.28
CAN  2007    11.17     4.96     3.94     1.49     0.48     0.30
CAN  2008    11.34     5.00     4.00     1.53     0.50     0.31
CAN  2009    11.29     4.97     3.96     1.54     0.51     0.32
CHL  1992    21.99     8.85     6.95     3.74     1.44     1.02
CHL  1993    21.29     8.64     6.77     3.65     1.38     0.85
CHL  1994    20.67     8.33     6.33     3.52     1.53     0.97
CHL  1995    19.70     8.06     6.00     3.32     1.42     0.90
CHL  1996    19.18     7.95     5.87     3.20     1.34     0.82
CHL  1997    18.47     7.73     5.65     3.07     1.26     0.76
CHL  1998    17.98     7.52     5.56     2.98     1.22     0.70
CHL  1999    17.25     7.19     5.40     2.86     1.14     0.66
CHL  2000    16.93     7.06     5.28     2.81     1.14     0.63
CHL  2001    16.55     6.89     5.24     2.76     1.06     0.60
CHL  2002    15.90     6.65     5.05     2.64     1.02     0.54
CHL  2003    15.44     6.37     4.96     2.62     0.98     0.51
CHL  2004    15.06     6.35     4.84     2.49     0.92     0.45
CHL  2005    14.88     6.37     4.76     2.43     0.88     0.43
CZE  1950    21.12     7.98     6.38     3.40     1.59     1.76
CZE  1951    20.62     7.82     6.13     3.33     1.61     1.73
CZE  1952    19.84     7.55     5.85     3.19     1.59     1.66
CZE  1953    18.85     6.91     5.66     3.13     1.54     1.61
CZE  1954    18.26     6.57     5.67     2.99     1.47     1.56
CZE  1955    17.85     6.38     5.59     2.92     1.43     1.53
CZE  1956    17.36     6.33     5.42     2.77     1.37     1.47
CZE  1957    16.50     6.18     5.10     2.56     1.25     1.41
CZE  1958    14.97     5.91     4.83     2.22     0.96     1.05
CZE  1959    13.56     5.86     4.53     1.80     0.67     0.70
CZE  1960    13.51     6.02     4.45     1.73     0.64     0.67
CZE  1961    13.69     6.24     4.54     1.70     0.60     0.61
CZE  1962    13.92     6.46     4.62     1.74     0.56     0.55
CZE  1963    15.47     7.02     5.22     1.99     0.62     0.61
CZE  1964    15.97     7.17     5.37     2.14     0.67     0.62
CZE  1965    15.19     6.96     5.09     1.90     0.64     0.60
CZE  1966    14.50     6.93     4.83     1.66     0.55     0.54
CZE  1967    14.19     7.13     4.65     1.47     0.46     0.47
CZE  1968    14.06     7.23     4.62     1.36     0.44     0.41
CZE  1969    14.63     7.51     4.86     1.41     0.45     0.41
CZE  1970    15.09     7.66     5.25     1.42     0.41     0.36
CZE  1971    15.70     7.73     5.74     1.48     0.43     0.33
CZE  1972    16.61     7.76     6.41     1.68     0.44     0.33
CZE  1973    18.36     7.85     7.61     2.05     0.50     0.34
CZE  1974    19.49     8.18     8.05     2.38     0.55     0.33
CZE  1975    19.12     8.04     7.80     2.45     0.53     0.30
CZE  1976    18.57     7.76     7.51     2.45     0.55     0.30
CZE  1977    17.91     7.42     7.26     2.40     0.55     0.28
CZE  1978    17.54     7.20     7.08     2.43     0.55     0.28
CZE  1979    16.80     6.82     6.78     2.42     0.53     0.25
CZE  1980    14.97     6.29     5.97     2.02     0.47     0.23
CZE  1981    14.04     5.91     5.60     1.87     0.44     0.22
CZE  1982    13.77     5.90     5.39     1.83     0.44     0.22
CZE  1983    13.34     5.96     5.03     1.73     0.41     0.20
CZE  1984    13.29     6.09     4.97     1.64     0.40     0.20
CZE  1985    13.19     6.08     4.95     1.58     0.39     0.19
CZE  1986    12.94     6.00     4.86     1.53     0.37     0.18
CZE  1987    12.71     5.93     4.79     1.44     0.37     0.17
CZE  1988    12.87     6.00     4.84     1.50     0.37     0.16
CZE  1989    12.45     5.91     4.65     1.40     0.34     0.16
CZE  1990    12.67     6.06     4.71     1.40     0.34     0.16
CZE  1991    12.55     6.28     4.46     1.31     0.34     0.16
CZE  1992    11.80     5.88     4.23     1.22     0.32     0.16
CZE  1993    11.73     5.69     4.31     1.21     0.34     0.18
CZE  1994    10.32     4.92     3.81     1.11     0.31     0.16
CZE  1995     9.32     4.32     3.59     0.97     0.29     0.15
CZE  1996     8.78     4.09     3.38     0.90     0.27     0.15
CZE  1997     8.82     4.16     3.36     0.90     0.24     0.15
CZE  1998     8.82     4.20     3.35     0.88     0.24     0.15
CZE  1999     8.73     4.20     3.28     0.87     0.24     0.14
CZE  2000     8.88     4.29     3.31     0.89     0.24     0.15
CZE  2001     8.87     4.24     3.34     0.90     0.24     0.14
CZE  2002     9.06     4.37     3.36     0.93     0.25     0.15
CZE  2003     9.14     4.43     3.40     0.93     0.24     0.14
CZE  2004     9.52     4.68     3.48     0.96     0.25     0.14
CZE  2005     9.94     4.86     3.70     1.00     0.25     0.14
CZE  2006    10.27     5.03     3.79     1.04     0.26     0.16
CZE  2007    11.09     5.23     4.20     1.21     0.29     0.16
CZE  2008    11.52     5.49     4.36     1.23     0.28     0.16
CZE  2009    11.36     5.38     4.34     1.19     0.29     0.16
CZE  2010    11.20     5.19     4.35     1.20     0.29     0.17
CZE  2011    10.35     4.86     4.02     1.06     0.27     0.15
EST  1959    16.52     8.16     5.30     1.74     0.66     0.65
EST  1960    16.56     8.13     5.43     1.72     0.63     0.64
EST  1961    16.42     8.09     5.44     1.72     0.59     0.58
EST  1962    15.99     7.81     5.36     1.68     0.60     0.55
EST  1963    15.27     7.50     5.10     1.54     0.59     0.54
EST  1964    15.37     7.56     5.21     1.56     0.53     0.52
EST  1965    14.63     7.10     5.07     1.42     0.56     0.48
EST  1966    14.27     6.84     4.98     1.48     0.48     0.48
EST  1967    14.16     6.94     4.85     1.43     0.51     0.43
EST  1968    14.83     7.25     5.18     1.46     0.51     0.44
EST  1969    15.47     7.56     5.44     1.55     0.48     0.43
EST  1970    15.83     7.81     5.65     1.50     0.44     0.42
EST  1971    16.10     7.86     5.73     1.57     0.48     0.45
EST  1972    15.69     7.61     5.65     1.56     0.47     0.40
EST  1973    15.18     7.41     5.42     1.49     0.45     0.41
EST  1974    15.21     7.51     5.33     1.54     0.45     0.38
EST  1975    15.02     7.41     5.31     1.51     0.44     0.36
EST  1976    15.19     7.49     5.38     1.46     0.47     0.39
EST  1977    15.22     7.50     5.48     1.44     0.42     0.39
EST  1978    14.98     7.39     5.38     1.42     0.43     0.37
EST  1979    14.94     7.43     5.24     1.46     0.41     0.40
EST  1980    15.03     7.43     5.35     1.48     0.40     0.38
EST  1981    15.44     7.43     5.64     1.55     0.44     0.37
EST  1982    15.46     7.24     5.70     1.65     0.47     0.40
EST  1983    16.04     7.18     6.21     1.77     0.46     0.41
EST  1984    15.98     7.25     6.05     1.80     0.49     0.39
EST  1985    15.48     6.96     5.83     1.81     0.48     0.40
EST  1986    15.69     6.97     5.91     1.85     0.53     0.43
EST  1987    16.21     7.04     6.16     2.04     0.51     0.44
EST  1988    16.06     6.98     5.81     2.18     0.64     0.46
EST  1989    15.51     6.83     5.37     2.19     0.65     0.46
EST  1990    14.24     6.58     4.67     1.94     0.61     0.44
EST  1991    12.48     6.17     3.90     1.52     0.51     0.39
EST  1992    11.70     5.88     3.60     1.38     0.46     0.38
EST  1993    10.00     4.95     3.12     1.18     0.41     0.33
EST  1994     9.41     4.67     2.95     1.10     0.39     0.32
EST  1995     9.09     4.51     2.91     1.02     0.35     0.30
EST  1996     9.03     4.53     2.79     1.07     0.35     0.29
EST  1997     8.68     4.28     2.81     0.99     0.31     0.30
EST  1998     8.51     4.27     2.66     0.97     0.34     0.27
EST  1999     8.81     4.35     2.85     0.97     0.35     0.28
EST  2000     9.35     4.52     3.00     1.13     0.40     0.30
EST  2001     9.10     4.39     2.96     1.11     0.36     0.28
EST  2002     9.42     4.54     3.12     1.14     0.36     0.27
EST  2003     9.51     4.68     3.10     1.10     0.36     0.26
EST  2004    10.27     5.06     3.32     1.26     0.36     0.26
EST  2005    10.59     5.13     3.56     1.28     0.36     0.26
EST  2006    11.05     5.33     3.80     1.33     0.33     0.25
EST  2007    11.77     5.61     4.04     1.49     0.38     0.25
EST  2008    11.99     5.69     4.13     1.52     0.40     0.25
EST  2009    11.81     5.40     4.16     1.57     0.43     0.25
EST  2010    11.88     5.02     4.46     1.66     0.48     0.27
EST  2011    11.06     4.44     4.28     1.64     0.47     0.23
EST  2012    10.63     4.37     4.03     1.56     0.42     0.25
FIN  1982    13.70     5.61     5.03     2.12     0.55     0.38
FIN  1983    13.77     5.46     5.06     2.23     0.63     0.38
FIN  1984    13.33     5.22     4.82     2.26     0.63     0.40
FIN  1985    12.82     5.05     4.59     2.15     0.63     0.40
FIN  1986    12.34     4.83     4.46     2.06     0.60     0.39
FIN  1987    12.13     4.82     4.34     1.99     0.59     0.40
FIN  1988    12.80     5.07     4.51     2.19     0.63     0.41
FIN  1989    12.76     5.08     4.41     2.20     0.65     0.42
FIN  1990    13.14     5.25     4.41     2.33     0.71     0.44
FIN  1991    13.04     5.31     4.37     2.21     0.70     0.45
FIN  1992    13.24     5.25     4.51     2.25     0.76     0.47
FIN  1993    12.80     5.05     4.41     2.15     0.73     0.46
FIN  1994    12.81     4.90     4.39     2.23     0.76     0.53
FIN  1995    12.35     4.78     4.25     2.11     0.72     0.49
FIN  1996    11.85     4.65     4.04     2.01     0.68     0.47
FIN  1997    11.54     4.59     3.94     1.88     0.64     0.49
FIN  1998    11.08     4.41     3.74     1.81     0.63     0.49
FIN  1999    11.15     4.48     3.69     1.85     0.64     0.48
FIN  2000    10.96     4.41     3.66     1.79     0.62     0.49
FIN  2001    10.83     4.40     3.58     1.76     0.62     0.48
FIN  2002    10.68     4.40     3.51     1.69     0.58     0.50
FIN  2003    10.86     4.55     3.57     1.68     0.57     0.50
FIN  2004    11.04     4.63     3.60     1.70     0.61     0.51
FIN  2005    11.01     4.65     3.61     1.64     0.59     0.51
FIN  2006    11.17     4.71     3.70     1.66     0.59     0.52
FIN  2007    11.10     4.65     3.70     1.64     0.57     0.54
FIN  2008    11.20     4.68     3.75     1.66     0.58     0.53
FIN  2009    11.32     4.76     3.79     1.67     0.57     0.53
DEUTNP  2009     8.12     4.05     2.74     0.91     0.27     0.15
DEUTNP  2010     8.29     4.11     2.81     0.94     0.27     0.15
DEUTW  2009     8.15     4.02     2.76     0.94     0.28     0.15
DEUTW  2010     8.29     4.07     2.82     0.97     0.28     0.15
DEUTE  1956    15.88     6.43     4.67     2.45     1.17     1.16
DEUTE  1957    15.62     6.31     4.57     2.40     1.18     1.17
DEUTE  1958    15.64     6.35     4.49     2.39     1.20     1.21
DEUTE  1959    16.88     6.86     4.77     2.57     1.31     1.37
DEUTE  1960    17.00     7.01     4.72     2.57     1.29     1.41
DEUTE  1961    17.56     7.26     4.85     2.63     1.33     1.50
DEUTE  1962    17.43     7.16     4.86     2.58     1.33     1.49
DEUTE  1963    17.58     7.02     4.99     2.65     1.36     1.54
DEUTE  1964    17.08     6.60     4.96     2.61     1.34     1.57
DEUTE  1965    16.51     6.23     4.88     2.56     1.32     1.52
DEUTE  1966    15.71     5.84     4.75     2.55     1.27     1.30
DEUTE  1967    14.80     5.64     4.49     2.38     1.17     1.12
DEUTE  1968    14.35     5.62     4.33     2.28     1.12     1.00
DEUTE  1969    13.99     5.80     4.21     2.14     0.99     0.85
DEUTE  1970    13.88     6.16     4.15     1.97     0.87     0.74
DEUTE  1971    13.77     6.38     4.10     1.84     0.78     0.66
DEUTE  1972    11.76     6.13     3.43     1.25     0.50     0.45
DEUTE  1973    10.62     6.15     3.09     0.77     0.28     0.32
DEUTE  1974    10.58     6.21     3.13     0.71     0.25     0.27
DEUTE  1975    10.79     6.33     3.32     0.68     0.23     0.22
DEUTE  1976    11.64     6.70     3.76     0.73     0.23     0.21
DEUTE  1977    13.31     7.21     4.75     0.87     0.26     0.21
DEUTE  1978    13.85     7.46     4.99     0.94     0.27     0.19
DEUTE  1979    14.05     7.56     5.05     0.98     0.27     0.18
DEUTE  1980    14.64     7.90     5.21     1.08     0.29     0.17
DEUTE  1981    14.20     7.51     5.15     1.08     0.29     0.17
DEUTE  1982    14.37     7.46     5.28     1.16     0.31     0.16
DEUTE  1983    13.99     7.20     5.12     1.19     0.32     0.17
DEUTE  1984    13.67     6.93     5.05     1.21     0.31     0.17
DEUTE  1985    13.67     6.63     5.07     1.44     0.34     0.19
DEUTE  1986    13.36     6.42     5.00     1.39     0.36     0.19
DEUTE  1987    13.57     6.27     5.18     1.52     0.38     0.21
DEUTE  1988    12.94     5.94     4.96     1.46     0.38     0.21
DEUTE  1989    12.01     5.51     4.55     1.37     0.37     0.21
DEUTE  2009     7.67     3.96     2.60     0.75     0.23     0.14
DEUTE  2010     7.92     4.03     2.73     0.78     0.23     0.14
HUN  1952    19.55     7.71     5.46     2.74     1.44     2.21
HUN  1953    21.57     8.10     6.12     3.33     1.68     2.33
HUN  1954    23.02     8.13     6.85     3.64     1.88     2.51
HUN  1955    21.41     8.00     6.31     3.21     1.66     2.23
HUN  1956    19.56     7.60     5.73     2.84     1.47     1.92
HUN  1957    17.00     7.25     4.95     2.16     1.06     1.58
HUN  1958    16.03     6.97     4.80     1.96     0.93     1.38
HUN  1959    15.21     6.68     4.54     1.83     0.87     1.30
HUN  1960    14.67     6.45     4.30     1.87     0.83     1.22
HUN  1961    14.00     6.30     4.07     1.72     0.78     1.13
HUN  1962    12.93     5.87     3.75     1.55     0.72     1.04
HUN  1963    13.12     5.91     3.96     1.52     0.70     1.03
HUN  1964    13.06     6.21     3.88     1.41     0.64     0.92
HUN  1965    13.11     6.40     3.92     1.33     0.59     0.88
HUN  1966    13.62     6.71     4.22     1.26     0.57     0.86
HUN  1967    14.59     7.10     4.74     1.34     0.57     0.84
HUN  1968    15.07     7.29     5.07     1.36     0.55     0.80
HUN  1969    15.01     7.38     5.02     1.33     0.52     0.76
HUN  1970    14.71     7.26     4.96     1.30     0.49     0.70
HUN  1971    14.56     7.20     4.91     1.29     0.48     0.68
HUN  1972    14.77     7.27     5.09     1.29     0.47     0.66
HUN  1973    15.01     7.34     5.15     1.42     0.47     0.62
HUN  1974    17.82     7.94     6.82     1.87     0.54     0.64
HUN  1975    18.46     8.05     7.30     1.98     0.54     0.58
HUN  1976    17.52     7.93     6.78     1.81     0.50     0.51
HUN  1977    16.71     7.52     6.50     1.75     0.47     0.48
HUN  1978    15.77     7.17     6.17     1.59     0.43     0.41
HUN  1979    15.00     6.86     5.83     1.50     0.41     0.40
HUN  1980    13.90     6.32     5.40     1.42     0.39     0.37
HUN  1981    13.38     5.99     5.15     1.49     0.40     0.35
HUN  1982    12.53     5.66     4.81     1.38     0.38     0.32
HUN  1983    11.98     5.43     4.57     1.31     0.37     0.30
HUN  1984    11.85     5.47     4.44     1.26     0.36     0.31
HUN  1985    12.35     5.54     4.64     1.43     0.41     0.33
HUN  1986    12.20     5.34     4.65     1.46     0.43     0.33
HUN  1987    12.02     5.28     4.50     1.46     0.44     0.33
HUN  1988    11.91     5.29     4.34     1.49     0.44     0.35
HUN  1989    11.86     5.19     4.32     1.56     0.45     0.34
HUN  1990    12.11     5.36     4.32     1.63     0.46     0.34
HUN  1991    12.26     5.47     4.34     1.59     0.48     0.37
HUN  1992    11.74     5.20     4.12     1.55     0.49     0.37
HUN  1993    11.30     4.93     3.92     1.57     0.50     0.38
HUN  1994    11.18     4.82     3.75     1.68     0.52     0.40
