Parity- and age-adjusted total fertility rate (based on parity distribution from population census)
Last modified: 25/09/2014
Code Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
HUN  1977    2.087    0.916    0.759    0.260    0.081    0.070
HUN  1978    2.015    0.915    0.748    0.232    0.067    0.053
HUN  1979    1.973    0.914    0.735    0.213    0.060    0.052
HUN  1980    1.902    0.905    0.707    0.192    0.052    0.046
HUN  1981    1.889    0.903    0.698    0.194    0.052    0.043
HUN  1982    1.832    0.897    0.680    0.175    0.045    0.034
HUN  1983    1.802    0.895    0.671    0.165    0.041    0.030
HUN  1984    1.812    0.901    0.676    0.163    0.042    0.030
HUN  1985    1.896    0.907    0.699    0.192    0.054    0.043
HUN  1986    1.895    0.900    0.702    0.195    0.056    0.042
HUN  1987    1.888    0.897    0.696    0.197    0.057    0.042
HUN  1988    1.887    0.897    0.687    0.200    0.058    0.044
HUN  1989    1.879    0.886    0.674    0.208    0.063    0.049
HUN  1990    1.905    0.884    0.672    0.221    0.070    0.058
HUN  1991    1.910    0.884    0.675    0.221    0.070    0.060
HUN  1992    1.825    0.866    0.636    0.203    0.065    0.055
HUN  1993    1.744    0.841    0.599    0.191    0.061    0.052
HUN  1994    1.701    0.826    0.567    0.191    0.063    0.055
HUN  1995    1.629    0.811    0.543    0.174    0.055    0.046
HUN  1996    1.529    0.798    0.504    0.145    0.043    0.038
HUN  1997    1.446    0.773    0.463    0.131    0.041    0.039
HUN  1998    1.398    0.762    0.446    0.121    0.037    0.032
HUN  1999    1.355    0.754    0.422    0.115    0.034    0.029
HUN  2000    1.389    0.759    0.431    0.124    0.039    0.036
HUN  2001    1.371    0.748    0.416    0.126    0.040    0.041
HUN  2002    1.367    0.750    0.416    0.124    0.039    0.038
HUN  2003    1.335    0.742    0.403    0.119    0.037    0.034
HUN  2004    1.343    0.751    0.408    0.118    0.035    0.031
HUN  2005    1.369    0.760    0.415    0.124    0.038    0.033
HUN  2006    1.393    0.759    0.426    0.131    0.041    0.036
HUN  2007    1.369    0.754    0.419    0.126    0.038    0.032
HUN  2008    1.399    0.755    0.426    0.133    0.043    0.040
HUN  2009    1.366    0.745    0.422    0.128    0.039    0.034
LTU  1979    2.016    0.926    0.723    0.228    0.075    0.064
LTU  1989    1.947    0.923    0.720    0.208    0.058    0.039
LTU  2001    1.384    0.815    0.434    0.090    0.025    0.019
NLD  1995    1.575    0.751    0.590    0.178    0.039    0.017
NLD  1996    1.581    0.761    0.591    0.175    0.037    0.016
NLD  1997    1.617    0.775    0.606    0.180    0.040    0.017
NLD  1998    1.676    0.794    0.628    0.193    0.043    0.019
NLD  1999    1.692    0.796    0.634    0.197    0.047    0.017
NLD  2000    1.749    0.807    0.653    0.213    0.057    0.019
NLD  2001    1.733    0.805    0.650    0.208    0.049    0.021
NLD  2002    1.744    0.806    0.652    0.214    0.051    0.020
NLD  2003    1.754    0.810    0.656    0.217    0.051    0.021
NLD  2004    1.736    0.809    0.649    0.210    0.048    0.019
NLD  2005    1.718    0.804    0.641    0.206    0.048    0.019
NLD  2006    1.722    0.803    0.640    0.209    0.050    0.021
NLD  2007    1.724    0.803    0.640    0.210    0.051    0.021
NLD  2008    1.769    0.812    0.655    0.225    0.056    0.022
NLD  2009    1.791    0.822    0.662    0.229    0.056    0.022
NOR  1985    1.746    0.827    0.630    0.222    0.051    0.016
NOR  1986    1.776    0.837    0.642    0.230    0.051    0.016
NOR  1987    1.795    0.834    0.649    0.240    0.054    0.018
NOR  1988    1.882    0.852    0.677    0.266    0.065    0.022
NOR  1989    1.919    0.853    0.685    0.285    0.070    0.025
NOR  1990    1.956    0.857    0.692    0.302    0.077    0.029
NOR  1991    1.955    0.860    0.690    0.299    0.078    0.028
NOR  1992    1.921    0.850    0.680    0.289    0.073    0.029
NOR  1993    1.897    0.841    0.673    0.284    0.074    0.026
NOR  1994    1.900    0.844    0.673    0.285    0.072    0.026
NOR  1995    1.904    0.844    0.676    0.291    0.069    0.024
NOR  1996    1.924    0.845    0.685    0.299    0.071    0.025
NOR  1997    1.897    0.841    0.673    0.290    0.070    0.024
NOR  1998    1.866    0.840    0.667    0.275    0.063    0.021
NOR  1999    1.892    0.844    0.674    0.283    0.067    0.023
NOR  2000    1.896    0.844    0.677    0.283    0.067    0.025
NOR  2001    1.838    0.836    0.662    0.262    0.058    0.020
NOR  2002    1.809    0.832    0.657    0.249    0.053    0.018
NOR  2003    1.850    0.844    0.672    0.258    0.056    0.019
NOR  2004    1.877    0.854    0.682    0.264    0.058    0.020
NOR  2005    1.876    0.853    0.680    0.264    0.059    0.020
NOR  2006    1.929    0.864    0.704    0.276    0.062    0.023
NOR  2007    1.927    0.860    0.700    0.279    0.065    0.023
NOR  2008    1.973    0.871    0.713    0.292    0.070    0.027
NOR  2009    1.985    0.870    0.719    0.297    0.071    0.028
PRT  1981    2.091    0.914    0.711    0.267    0.103    0.097
PRT  1991    1.609    0.864    0.556    0.135    0.035    0.019
RUS  1979    1.825    0.932    0.641    0.156    0.049    0.048
RUS  1989    1.983    0.947    0.726    0.213    0.057    0.040
SVK  1950    3.767    0.915    0.824    0.626    0.445    0.956
SVK  1961    2.959    0.919    0.826    0.532    0.289    0.393
SVK  1970    2.415    0.902    0.777    0.391    0.166    0.178
SVK  1980    2.309    0.909    0.803    0.371    0.128    0.098
SVK  1991    2.075    0.894    0.741    0.286    0.092    0.062
SVK  2001    1.234    0.689    0.399    0.091    0.027    0.029
SVN  1991    1.531    0.840    0.559    0.106    0.018    0.007
SWE  1970    1.950    0.864    0.693    0.287    0.078    0.029
SWE  1971    1.985    0.876    0.710    0.291    0.079    0.028
SWE  1972    1.941    0.871    0.702    0.275    0.070    0.023
SWE  1973    1.903    0.867    0.692    0.260    0.064    0.020
SWE  1974    1.900    0.868    0.696    0.256    0.062    0.018
SWE  1975    1.812    0.859    0.670    0.224    0.047    0.013
SWE  1976    1.740    0.845    0.646    0.200    0.038    0.010
SWE  1977    1.698    0.832    0.629    0.191    0.036    0.009
SWE  1978    1.653    0.815    0.607    0.184    0.037    0.010
SWE  1979    1.704    0.820    0.619    0.205    0.045    0.014
SWE  1980    1.725    0.825    0.623    0.212    0.049    0.016
SWE  1981    1.682    0.809    0.604    0.207    0.048    0.015
SWE  1982    1.668    0.800    0.596    0.207    0.048    0.016
SWE  1983    1.651    0.792    0.584    0.207    0.051    0.017
SWE  1984    1.683    0.791    0.591    0.220    0.058    0.022
SWE  1985    1.759    0.801    0.610    0.246    0.072    0.031
SWE  1986    1.820    0.814    0.631    0.263    0.078    0.034
SWE  1987    1.859    0.820    0.650    0.274    0.080    0.035
SWE  1988    1.965    0.834    0.682    0.308    0.096    0.045
SWE  1989    2.021    0.846    0.697    0.324    0.105    0.049
SWE  1990    2.129    0.861    0.724    0.355    0.124    0.066
SWE  1991    2.102    0.857    0.718    0.349    0.117    0.061
SWE  1992    2.060    0.850    0.710    0.333    0.111    0.055
SWE  1993    1.979    0.842    0.692    0.305    0.093    0.046
SWE  1994    1.893    0.830    0.677    0.276    0.076    0.034
SWE  1995    1.773    0.810    0.645    0.239    0.058    0.021
SWE  1996    1.672    0.796    0.618    0.202    0.042    0.015
SWE  1997    1.608    0.780    0.599    0.180    0.037    0.012
SWE  1998    1.601    0.778    0.593    0.180    0.037    0.013
SWE  1999    1.601    0.782    0.590    0.177    0.038    0.014
SWE  2000    1.648    0.794    0.607    0.188    0.041    0.017
SWE  2001    1.668    0.805    0.617    0.188    0.042    0.017
SWE  2002    1.738    0.824    0.648    0.203    0.045    0.019
SWE  2003    1.787    0.835    0.664    0.216    0.052    0.022
SWE  2004    1.816    0.843    0.675    0.222    0.053    0.023
SWE  2005    1.820    0.842    0.678    0.222    0.055    0.024
SWE  2006    1.887    0.858    0.701    0.241    0.060    0.028
SWE  2007    1.909    0.861    0.707    0.248    0.063    0.029
SWE  2008    1.927    0.865    0.711    0.252    0.066    0.032
SWE  2009    1.936    0.868    0.719    0.253    0.064    0.032
SWE  2010    1.971    0.871    0.727    0.266    0.070    0.037
SWE  2011    1.899    0.856    0.703    0.245    0.063    0.032
CHE  2000    1.534    0.753    0.567    0.168    0.037    0.010
UKR  1979    1.896    0.951    0.699    0.167    0.044    0.035
UKR  2001    1.189    0.807    0.323    0.044    0.009    0.005
