Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 25/09/2014
Code Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
BGR  1936     2.036     0.919     0.749     0.209     0.081     0.078     2.023     0.917     0.746     0.207     0.079     0.074
BGR  1937     2.038     0.921     0.755     0.210     0.079     0.074     2.027     0.919     0.753     0.208     0.077     0.071
BGR  1938     2.038     0.924     0.756     0.210     0.077     0.071     2.027     0.922     0.754     0.208     0.075     0.067
BGR  1939     2.052     0.934     0.761     0.213     0.075     0.069     2.041     0.932     0.759     0.211     0.074     0.065
BGR  1940     2.086     0.954     0.776     0.217     0.074     0.066     2.075     0.952     0.774     0.215     0.073     0.062
BGR  1941     2.094     0.963     0.782     0.217     0.071     0.060     2.084     0.961     0.780     0.215     0.070     0.057
BGR  1942     2.092     0.966     0.787     0.215     0.068     0.057     2.082     0.964     0.785     0.213     0.067     0.054
BGR  1943     2.075     0.959     0.790     0.210     0.065     0.052     2.066     0.957     0.787     0.209     0.064     0.050
BGR  1944     2.079     0.967     0.793     0.206     0.062     0.050     2.069     0.965     0.791     0.204     0.061     0.048
BGR  1945     2.070     0.971     0.792     0.201     0.060     0.047     2.060     0.969     0.789     0.199     0.058     0.044
BGR  1946     2.055     0.960     0.793     0.197     0.059     0.046     2.046     0.958     0.791     0.195     0.058     0.044
BGR  1947     2.051     0.959     0.796     0.193     0.057     0.046     2.041     0.957     0.793     0.191     0.056     0.044
BGR  1948     2.063     0.973     0.798     0.192     0.056     0.045     2.053     0.970     0.796     0.189     0.055     0.042
BGR  1949     2.079     0.984     0.805     0.191     0.056     0.043     2.070     0.982     0.803     0.190     0.055     0.041
BGR  1950     2.064     0.976     0.799     0.192     0.055     0.042     2.054     0.973     0.797     0.190     0.054     0.040
BGR  1951     2.048     0.963     0.796     0.193     0.055     0.042     2.039     0.960     0.794     0.191     0.054     0.040
BGR  1952     2.037     0.966     0.788     0.187     0.053     0.043     2.029     0.964     0.786     0.185     0.052     0.041
BGR  1953     2.036     0.971     0.789     0.183     0.052     0.041     2.028     0.969     0.786     0.181     0.052     0.039
BGR  1954     2.042     0.975     0.790     0.182     0.052     0.043     2.033     0.973     0.788     0.180     0.051     0.041
BGR  1955     2.026     0.969     0.782     0.180     0.051     0.043     2.017     0.967     0.781     0.178     0.050     0.042
BGR  1956     2.035     0.976     0.786     0.182     0.050     0.041     2.026     0.974     0.784     0.180     0.049     0.039
BGR  1957     2.043     0.981     0.788     0.181     0.052     0.041     2.035     0.979     0.786     0.180     0.051     0.039
BGR  1958     2.017     0.981     0.774     0.173     0.048     0.040     2.007     0.978     0.772     0.171     0.048     0.038
BGR  1959     1.989     0.975     0.762     0.166     0.049     0.037     1.979     0.972     0.760     0.165     0.048     0.035
BGR  1960         .         .         .         .         .         .     1.943     0.958     0.748     0.156     0.045     0.036
BGR  1961         .         .         .         .         .         .     1.904     0.951     0.731     0.146     0.042     0.034
BGR  1962         .         .         .         .         .         .     1.864     0.927     0.717     0.144     0.042     0.034
BGR  1963         .         .         .         .         .         .     1.850     0.930     0.708     0.139     0.040     0.033
BGR  1964         .         .         .         .         .         .     1.870     0.951     0.704     0.136     0.042     0.037
BGR  1965         .         .         .         .         .         .     1.802     0.928     0.670     0.130     0.040     0.033
BGR  1966         .         .         .         .         .         .     1.798     0.957     0.647     0.123     0.039     0.033
BGR  1967         .         .         .         .         .         .     1.770     0.962     0.619     0.117     0.037     0.035
BGR  1968         .         .         .         .         .         .     1.739     0.958     0.601     0.112     0.035     0.034
BGR  1969         .         .         .         .         .         .     1.673     0.932     0.568     0.107     0.035     0.031
CAN  1929     3.343     0.934     0.805     0.598     0.393     0.613     3.293     0.931     0.800     0.592     0.386     0.584
CAN  1930     3.376     0.952     0.819     0.609     0.397     0.600     3.333     0.948     0.814     0.603     0.391     0.576
CAN  1931     3.356     0.956     0.824     0.612     0.393     0.571     3.320     0.953     0.820     0.607     0.388     0.552
CAN  1932     3.302     0.956     0.822     0.608     0.385     0.531     3.271     0.953     0.818     0.604     0.381     0.516
CAN  1933     3.227     0.951     0.817     0.600     0.373     0.486     3.201     0.948     0.814     0.596     0.369     0.474
CAN  1934     3.155     0.946     0.814     0.590     0.360     0.444     3.132     0.944     0.811     0.587     0.357     0.434
CAN  1935     3.077     0.941     0.812     0.579     0.345     0.400     3.056     0.938     0.808     0.576     0.342     0.391
CAN  1936     2.987     0.936     0.807     0.564     0.326     0.354     2.968     0.934     0.804     0.561     0.323     0.346
CAN  1937     2.908     0.937     0.807     0.550     0.306     0.308     2.891     0.934     0.804     0.547     0.304     0.302
CAN  1938     2.833     0.940     0.809     0.535     0.284     0.265     2.817     0.938     0.806     0.532     0.282     0.260
CAN  1939     2.760     0.948     0.809     0.517     0.261     0.226     2.745     0.946     0.806     0.514     0.258     0.221
CAN  1940     2.664     0.952     0.805     0.489     0.232     0.186     2.648     0.950     0.802     0.486     0.230     0.181
CAN  1941     2.546     0.952     0.793     0.452     0.201     0.149     2.531     0.949     0.790     0.449     0.198     0.145
CAN  1942     2.451     0.958     0.781     0.419     0.174     0.120     2.436     0.955     0.778     0.415     0.172     0.116
CAN  1943     2.343     0.947     0.763     0.385     0.150     0.097     2.328     0.945     0.759     0.382     0.148     0.093
CAN  1944     2.198     0.910     0.731     0.350     0.129     0.078     2.183     0.907     0.728     0.347     0.127     0.074
CAN  1945     2.114     0.896     0.712     0.327     0.114     0.064     2.098     0.893     0.709     0.323     0.112     0.061
CAN  1946     2.133     0.929     0.725     0.319     0.105     0.056     2.116     0.925     0.720     0.315     0.103     0.053
CAN  1947     2.107     0.931     0.723     0.307     0.096     0.050     2.089     0.927     0.718     0.303     0.094     0.047
CAN  1948     2.025     0.899     0.702     0.292     0.088     0.044     2.006     0.895     0.696     0.288     0.086     0.041
CAN  1949     1.968     0.877     0.685     0.282     0.083     0.041     1.948     0.872     0.680     0.278     0.080     0.038
CAN  1950     1.928     0.861     0.675     0.274     0.079     0.038     1.906     0.856     0.668     0.270     0.076     0.035
CAN  1951     1.897     0.847     0.667     0.270     0.077     0.036     1.874     0.842     0.660     0.265     0.074     0.033
CAN  1952     1.882     0.839     0.665     0.266     0.076     0.036     1.859     0.833     0.657     0.262     0.073     0.033
CAN  1953     1.873     0.838     0.659     0.264     0.075     0.036     1.848     0.833     0.652     0.259     0.072     0.033
CAN  1954     1.863     0.839     0.653     0.261     0.074     0.035     1.837     0.833     0.645     0.256     0.071     0.032
CAN  1955     1.852     0.836     0.649     0.258     0.074     0.035     1.826     0.830     0.640     0.253     0.071     0.032
CAN  1956     1.845     0.833     0.645     0.257     0.074     0.036     1.817     0.826     0.636     0.252     0.071     0.032
CAN  1957     1.846     0.832     0.647     0.257     0.074     0.036     1.818     0.825     0.638     0.252     0.071     0.032
CAN  1958     1.846     0.829     0.649     0.258     0.074     0.036     1.817     0.822     0.639     0.252     0.071     0.032
CAN  1959     1.846     0.827     0.649     0.259     0.075     0.037     1.815     0.819     0.638     0.253     0.072     0.033
CAN  1960         .         .         .         .         .         .     1.802     0.814     0.635     0.250     0.070     0.033
CAN  1961         .         .         .         .         .         .     1.778     0.806     0.627     0.243     0.069     0.032
CAN  1962         .         .         .         .         .         .     1.763     0.803     0.621     0.239     0.067     0.033
CAN  1963         .         .         .         .         .         .     1.753     0.802     0.620     0.233     0.066     0.032
CAN  1964         .         .         .         .         .         .     1.739     0.798     0.617     0.228     0.065     0.032
CAN  1965         .         .         .         .         .         .     1.723     0.791     0.610     0.225     0.065     0.033
CAN  1966         .         .         .         .         .         .     1.723     0.792     0.609     0.224     0.065     0.034
CAN  1967         .         .         .         .         .         .     1.729     0.795     0.611     0.223     0.065     0.034
CAN  1968         .         .         .         .         .         .     1.730     0.796     0.612     0.220     0.066     0.035
CAN  1969         .         .         .         .         .         .     1.729     0.797     0.611     0.220     0.066     0.036
CZE  1935     2.113     0.926     0.739     0.288     0.092     0.069     2.100     0.924     0.736     0.285     0.089     0.065
CZE  1936     2.092     0.922     0.739     0.278     0.087     0.066     2.079     0.920     0.737     0.275     0.085     0.063
CZE  1937     2.105     0.929     0.744     0.278     0.086     0.067     2.093     0.928     0.742     0.275     0.084     0.064
CZE  1938     2.091     0.925     0.744     0.276     0.083     0.063     2.080     0.923     0.742     0.273     0.081     0.060
CZE  1939     2.090     0.925     0.751     0.275     0.081     0.058     2.078     0.924     0.749     0.272     0.079     0.055
CZE  1940     2.102     0.939     0.760     0.272     0.079     0.053     2.091     0.937     0.758     0.269     0.077     0.050
CZE  1941     2.064     0.928     0.753     0.264     0.074     0.045     2.055     0.927     0.751     0.262     0.072     0.043
CZE  1942     2.040     0.922     0.749     0.259     0.069     0.040     2.031     0.921     0.748     0.257     0.068     0.038
CZE  1943     2.066     0.936     0.764     0.259     0.068     0.039     2.057     0.935     0.762     0.256     0.066     0.037
CZE  1944     2.046     0.930     0.761     0.255     0.065     0.035     2.038     0.929     0.760     0.252     0.063     0.034
CZE  1945     2.022     0.917     0.755     0.253     0.063     0.033     2.014     0.916     0.754     0.250     0.062     0.032
CZE  1946     2.065     0.934     0.777     0.259     0.063     0.032     2.057     0.933     0.776     0.257     0.061     0.030
CZE  1947     2.086     0.939     0.793     0.262     0.062     0.031     2.078     0.937     0.792     0.260     0.061     0.029
CZE  1948     2.087     0.932     0.792     0.268     0.064     0.031     2.079     0.931     0.791     0.265     0.062     0.029
CZE  1949     2.098     0.933     0.799     0.271     0.064     0.031     2.090     0.932     0.798     0.268     0.062     0.029
CZE  1950     2.108     0.940     0.805     0.271     0.063     0.030     2.099     0.939     0.803     0.268     0.061     0.028
CZE  1951     2.107     0.939     0.806     0.270     0.063     0.029     2.097     0.938     0.805     0.267     0.061     0.027
CZE  1952     2.100     0.939     0.808     0.265     0.061     0.027     2.092     0.938     0.807     0.262     0.059     0.025
CZE  1953     2.086     0.937     0.806     0.258     0.059     0.026     2.077     0.936     0.804     0.255     0.057     0.025
CZE  1954     2.080     0.940     0.802     0.255     0.058     0.026     2.071     0.939     0.800     0.252     0.056     0.024
CZE  1955     2.076     0.941     0.801     0.251     0.058     0.025     2.067     0.940     0.799     0.248     0.056     0.024
CZE  1956     2.077     0.943     0.802     0.249     0.057     0.026     2.067     0.942     0.800     0.246     0.055     0.024
CZE  1957     2.069     0.941     0.801     0.246     0.056     0.026     2.059     0.939     0.799     0.243     0.054     0.024
CZE  1958     2.051     0.934     0.795     0.240     0.056     0.026     2.040     0.933     0.793     0.237     0.054     0.024
CZE  1959     2.040     0.935     0.790     0.234     0.054     0.026     2.027     0.934     0.787     0.230     0.052     0.024
CZE  1960     2.033     0.938     0.784     0.229     0.055     0.027     2.018     0.936     0.781     0.225     0.052     0.025
CZE  1961     2.022     0.937     0.781     0.226     0.054     0.025     2.006     0.935     0.777     0.221     0.051     0.023
CZE  1962         .         .         .         .         .         .     1.984     0.935     0.768     0.212     0.048     0.021
CZE  1963         .         .         .         .         .         .     1.958     0.934     0.758     0.200     0.045     0.021
CZE  1964         .         .         .         .         .         .     1.948     0.933     0.755     0.193     0.046     0.020
CZE  1965         .         .         .         .         .         .     1.931     0.933     0.743     0.190     0.044     0.022
CZE  1966         .         .         .         .         .         .     1.905     0.925     0.731     0.184     0.043     0.021
CZE  1967         .         .         .         .         .         .     1.885     0.918     0.720     0.181     0.044     0.023
CZE  1968         .         .         .         .         .         .     1.868     0.915     0.709     0.179     0.042     0.023
CZE  1969         .         .         .         .         .         .     1.872     0.923     0.708     0.178     0.042     0.021
CZE  1970         .         .         .         .         .         .     1.848     0.919     0.702     0.171     0.037     0.019
CZE  1971         .         .         .         .         .         .     1.838     0.912     0.695     0.172     0.039     0.021
EST  1944     1.889     0.913     0.648     0.206     0.063     0.059     1.863     0.909     0.643     0.200     0.059     0.052
EST  1945     1.873     0.902     0.658     0.192     0.061     0.060     1.844     0.898     0.652     0.186     0.057     0.051
EST  1946     1.889     0.934     0.659     0.193     0.055     0.047     1.862     0.931     0.653     0.187     0.052     0.040
EST  1947     1.910     0.941     0.671     0.194     0.056     0.048     1.885     0.937     0.666     0.187     0.053     0.043
EST  1948     1.916     0.940     0.671     0.198     0.058     0.050     1.891     0.936     0.666     0.191     0.054     0.044
EST  1949     1.988     0.959     0.698     0.210     0.066     0.054     1.966     0.958     0.694     0.204     0.062     0.048
EST  1950     1.964     0.956     0.691     0.207     0.059     0.050     1.943     0.953     0.687     0.201     0.057     0.045
EST  1951     2.002     0.973     0.709     0.207     0.061     0.053     1.984     0.971     0.705     0.202     0.058     0.048
EST  1952     1.951     0.946     0.685     0.208     0.060     0.052     1.935     0.945     0.682     0.204     0.058     0.047
EST  1953     1.963     0.950     0.693     0.208     0.061     0.051     1.947     0.948     0.691     0.203     0.059     0.046
EST  1954     1.973     0.942     0.694     0.218     0.066     0.052     1.955     0.941     0.691     0.214     0.063     0.047
EST  1955     1.969     0.939     0.698     0.219     0.064     0.048     1.950     0.938     0.694     0.213     0.061     0.044
EST  1956     2.021     0.963     0.713     0.222     0.066     0.057     2.003     0.962     0.710     0.217     0.063     0.052
EST  1957     2.026     0.969     0.709     0.227     0.067     0.054     2.005     0.966     0.706     0.221     0.064     0.048
EST  1958     2.033     0.978     0.710     0.226     0.068     0.051     2.013     0.975     0.705     0.222     0.065     0.045
EST  1959     2.057     0.992     0.715     0.231     0.067     0.052     2.035     0.989     0.712     0.225     0.063     0.046
EST  1960     2.059     0.997     0.712     0.231     0.069     0.051     2.035     0.993     0.707     0.224     0.065     0.045
EST  1961     1.990     0.965     0.682     0.224     0.069     0.051     1.966     0.962     0.676     0.218     0.065     0.045
EST  1962     1.964     0.953     0.670     0.225     0.070     0.045     1.935     0.952     0.663     0.216     0.065     0.039
EST  1963         .         .         .         .         .         .     1.875     0.923     0.643     0.207     0.059     0.043
EST  1964         .         .         .         .         .         .     1.844     0.909     0.625     0.207     0.062     0.041
EST  1965         .         .         .         .         .         .     1.860     0.920     0.630     0.206     0.062     0.041
EST  1966         .         .         .         .         .         .     1.815     0.909     0.602     0.203     0.061     0.040
EST  1967         .         .         .         .         .         .     1.824     0.910     0.607     0.211     0.060     0.036
EST  1968         .         .         .         .         .         .     1.820     0.910     0.597     0.213     0.063     0.037
EST  1969         .         .         .         .         .         .     1.802     0.900     0.597     0.211     0.057     0.037
EST  1970         .         .         .         .         .         .     1.806     0.895     0.597     0.217     0.062     0.035
EST  1971         .         .         .         .         .         .     1.772     0.883     0.594     0.207     0.054     0.034
EST  1972         .         .         .         .         .         .     1.749     0.857     0.593     0.209     0.058     0.032
FIN  1967         .         .         .         .         .         .     1.827     0.785     0.629     0.273     0.084     0.056
FIN  1968         .         .         .         .         .         .     1.849     0.785     0.630     0.279     0.090     0.065
FIN  1969         .         .         .         .         .         .     1.836     0.785     0.628     0.274     0.087     0.062
DEUTE  1941         .         .         .         .         .         .     1.945     0.902     0.624     0.260     0.098     0.060
DEUTE  1942         .         .         .         .         .         .     1.893     0.894     0.618     0.244     0.087     0.050
DEUTE  1943         .         .         .         .         .         .     1.884     0.907     0.625     0.231     0.078     0.042
DEUTE  1944         .         .         .         .         .         .     1.867     0.914     0.626     0.220     0.070     0.037
DEUTE  1945         .         .         .         .         .         .     1.854     0.914     0.626     0.211     0.067     0.036
DEUTE  1946         .         .         .         .         .         .     1.858     0.925     0.634     0.203     0.062     0.035
DEUTE  1947         .         .         .         .         .         .     1.829     0.926     0.634     0.186     0.054     0.029
DEUTE  1948         .         .         .         .         .         .     1.821     0.925     0.640     0.179     0.050     0.027
DEUTE  1949         .         .         .         .         .         .     1.797     0.927     0.632     0.168     0.046     0.024
DEUTE  1950         .         .         .         .         .         .     1.784     0.927     0.631     0.159     0.043     0.023
HUN  1937     1.977     0.913     0.645     0.223     0.087     0.108     1.960     0.911     0.642     0.220     0.085     0.102
HUN  1938     1.949     0.909     0.642     0.211     0.084     0.102     1.933     0.907     0.639     0.208     0.082     0.097
HUN  1939     1.932     0.909     0.643     0.208     0.078     0.093     1.917     0.907     0.640     0.205     0.076     0.088
HUN  1940     1.923     0.910     0.649     0.206     0.074     0.084     1.910     0.908     0.647     0.203     0.073     0.080
HUN  1941     1.931     0.917     0.658     0.202     0.072     0.083     1.918     0.915     0.655     0.199     0.071     0.078
HUN  1942     1.898     0.908     0.656     0.196     0.067     0.071     1.886     0.907     0.654     0.193     0.066     0.067
HUN  1943     1.918     0.918     0.672     0.197     0.065     0.067     1.905     0.916     0.670     0.194     0.063     0.063
HUN  1944     1.918     0.914     0.680     0.199     0.063     0.062     1.905     0.912     0.677     0.196     0.061     0.059
HUN  1945     1.906     0.907     0.682     0.199     0.061     0.057     1.891     0.905     0.679     0.195     0.059     0.054
HUN  1946     1.914     0.913     0.691     0.197     0.059     0.054     1.900     0.911     0.688     0.193     0.057     0.051
HUN  1947     1.928     0.917     0.701     0.201     0.058     0.051     1.914     0.915     0.698     0.197     0.056     0.048
HUN  1948     1.946     0.915     0.710     0.207     0.061     0.053     1.931     0.913     0.708     0.203     0.058     0.049
HUN  1949     1.974     0.916     0.724     0.213     0.064     0.057     1.958     0.915     0.721     0.208     0.061     0.053
HUN  1950     1.955     0.913     0.721     0.209     0.060     0.052     1.939     0.911     0.719     0.204     0.058     0.048
HUN  1951     1.971     0.919     0.729     0.212     0.061     0.049     1.954     0.917     0.726     0.208     0.058     0.045
HUN  1952     1.956     0.914     0.726     0.210     0.061     0.046     1.939     0.912     0.723     0.204     0.058     0.042
HUN  1953     1.933     0.913     0.718     0.205     0.056     0.041     1.916     0.910     0.715     0.200     0.053     0.037
HUN  1954     1.938     0.917     0.720     0.204     0.057     0.041     1.920     0.915     0.717     0.198     0.054     0.037
HUN  1955     1.950     0.917     0.722     0.208     0.059     0.044     1.934     0.915     0.719     0.204     0.057     0.040
HUN  1956     1.974     0.922     0.728     0.214     0.062     0.048     1.957     0.920     0.725     0.210     0.059     0.044
HUN  1957     2.020     0.927     0.736     0.228     0.071     0.058     2.002     0.925     0.733     0.223     0.068     0.052
HUN  1958     2.015     0.929     0.735     0.228     0.069     0.054     1.997     0.926     0.731     0.224     0.065     0.050
HUN  1959     2.026     0.930     0.734     0.235     0.072     0.055     2.006     0.927     0.730     0.229     0.069     0.051
HUN  1960         .         .         .         .         .         .     2.003     0.923     0.723     0.232     0.071     0.054
HUN  1961         .         .         .         .         .         .     2.018     0.929     0.727     0.238     0.071     0.053
HUN  1962         .         .         .         .         .         .     2.019     0.925     0.719     0.242     0.073     0.059
HUN  1963         .         .         .         .         .         .     1.994     0.917     0.709     0.239     0.073     0.056
HUN  1964         .         .         .         .         .         .     1.978     0.915     0.698     0.237     0.071     0.057
HUN  1965         .         .         .         .         .         .     1.968     0.911     0.694     0.236     0.072     0.054
HUN  1966         .         .         .         .         .         .     1.950     0.910     0.679     0.236     0.071     0.054
HUN  1967         .         .         .         .         .         .     1.927     0.907     0.668     0.232     0.068     0.052
HUN  1968         .         .         .         .         .         .     1.894     0.895     0.652     0.228     0.068     0.051
HUN  1969         .         .         .         .         .         .     1.871     0.891     0.639     0.224     0.067     0.049
JPN  1953     1.987     0.887     0.769     0.282     0.040     0.010     1.973     0.883     0.765     0.278     0.039     0.009
JPN  1954     1.983     0.882     0.765     0.286     0.041     0.010     1.968     0.878     0.760     0.282     0.039     0.008
JPN  1955     1.977     0.879     0.761     0.286     0.042     0.009     1.961     0.875     0.756     0.283     0.039     0.008
JPN  1956     1.946     0.867     0.746     0.283     0.041     0.009     1.929     0.863     0.741     0.279     0.039     0.008
JPN  1957     1.918     0.858     0.733     0.277     0.041     0.009     1.900     0.853     0.728     0.273     0.038     0.008
JPN  1958     1.909     0.858     0.727     0.274     0.040     0.009     1.890     0.853     0.722     0.269     0.038     0.008
JPN  1959     1.870     0.846     0.710     0.265     0.039     0.009     1.850     0.840     0.704     0.261     0.037     0.008
JPN  1960         .         .         .         .         .         .     1.805     0.826     0.686     0.249     0.036     0.008
JPN  1961         .         .         .         .         .         .     1.762     0.815     0.668     0.237     0.035     0.007
JPN  1962         .         .         .         .         .         .     1.719     0.804     0.650     0.225     0.033     0.007
JPN  1963         .         .         .         .         .         .     1.672     0.789     0.631     0.214     0.031     0.007
JPN  1964         .         .         .         .         .         .     1.660     0.792     0.625     0.206     0.031     0.007
JPN  1965         .         .         .         .         .         .     1.595     0.768     0.598     0.193     0.029     0.007
JPN  1966         .         .         .         .         .         .     1.493     0.726     0.557     0.176     0.027     0.007
JPN  1967         .         .         .         .         .         .     1.506     0.739     0.560     0.173     0.027     0.007
JPN  1968         .         .         .         .         .         .     1.497     0.741     0.556     0.168     0.026     0.007
JPN  1969         .         .         .         .         .         .     1.444     0.719     0.534     0.159     0.025     0.007
LTU  1955     1.950     0.944     0.708     0.196     0.057     0.044     1.932     0.942     0.705     0.191     0.055     0.039
LTU  1956     1.957     0.949     0.710     0.196     0.058     0.044     1.937     0.946     0.706     0.190     0.055     0.039
LTU  1957     1.965     0.962     0.705     0.194     0.060     0.044     1.944     0.959     0.702     0.188     0.056     0.039
LTU  1958     1.948     0.973     0.687     0.189     0.059     0.040     1.926     0.970     0.682     0.183     0.055     0.036
LTU  1959     1.956     0.989     0.685     0.187     0.055     0.041     1.935     0.986     0.680     0.182     0.051     0.036
LTU  1960     1.910     0.965     0.670     0.181     0.053     0.041     1.887     0.962     0.665     0.175     0.049     0.035
LTU  1961     1.824     0.914     0.639     0.177     0.053     0.041     1.802     0.911     0.634     0.172     0.050     0.035
LTU  1962         .         .         .         .         .         .     1.734     0.864     0.620     0.170     0.047     0.033
LTU  1963         .         .         .         .         .         .     1.714     0.852     0.613     0.167     0.048     0.034
LTU  1964         .         .         .         .         .         .     1.699     0.844     0.606     0.167     0.048     0.034
LTU  1965         .         .         .         .         .         .     1.708     0.845     0.612     0.168     0.048     0.036
LTU  1966         .         .         .         .         .         .     1.705     0.846     0.611     0.164     0.047     0.035
LTU  1967         .         .         .         .         .         .     1.705     0.850     0.612     0.164     0.046     0.034
LTU  1968         .         .         .         .         .         .     1.724     0.871     0.610     0.160     0.044     0.039
LTU  1969         .         .         .         .         .         .     1.735     0.878     0.607     0.162     0.049     0.038
LTU  1970         .         .         .         .         .         .     1.708     0.873     0.594     0.161     0.047     0.033
LTU  1971         .         .         .         .         .         .     1.693     0.864     0.592     0.160     0.044     0.034
NLD  1935     2.499     0.883     0.781     0.456     0.210     0.169     2.477     0.880     0.777     0.453     0.207     0.159
NLD  1936     2.432     0.881     0.781     0.435     0.194     0.142     2.412     0.879     0.778     0.432     0.191     0.133
NLD  1937     2.407     0.898     0.789     0.425     0.174     0.122     2.388     0.895     0.787     0.422     0.171     0.112
NLD  1938     2.317     0.879     0.778     0.400     0.157     0.103     2.298     0.877     0.775     0.398     0.154     0.094
NLD  1939     2.267     0.884     0.781     0.380     0.137     0.085     2.248     0.882     0.778     0.378     0.135     0.076
NLD  1940     2.214     0.881     0.781     0.356     0.118     0.078     2.193     0.879     0.778     0.354     0.116     0.066
NLD  1941     2.184     0.900     0.779     0.336     0.106     0.062     2.166     0.898     0.777     0.334     0.104     0.054
NLD  1942     2.124     0.889     0.762     0.314     0.096     0.063     2.105     0.887     0.759     0.311     0.093     0.054
NLD  1943     2.081     0.897     0.761     0.288     0.084     0.052     2.064     0.894     0.759     0.285     0.082     0.045
NLD  1944     2.047     0.895     0.759     0.271     0.075     0.046     2.030     0.893     0.757     0.269     0.073     0.039
NLD  1945     1.997     0.883     0.747     0.251     0.070     0.046     1.978     0.881     0.744     0.248     0.068     0.038
NLD  1946     1.947     0.883     0.736     0.230     0.060     0.037     1.930     0.880     0.733     0.228     0.058     0.031
NLD  1947     1.919     0.872     0.728     0.224     0.058     0.037     1.902     0.869     0.725     0.221     0.056     0.031
NLD  1948     1.917     0.872     0.721     0.224     0.060     0.040     1.898     0.868     0.717     0.221     0.057     0.034
NLD  1949     1.890     0.861     0.709     0.222     0.059     0.039     1.870     0.857     0.705     0.218     0.056     0.034
NLD  1950     1.900     0.854     0.703     0.231     0.066     0.047     1.877     0.850     0.697     0.227     0.063     0.040
NLD  1951     1.875     0.847     0.695     0.230     0.062     0.042     1.851     0.841     0.689     0.225     0.060     0.036
NLD  1952     1.875     0.841     0.689     0.234     0.066     0.045     1.851     0.836     0.682     0.230     0.063     0.039
NLD  1953     1.869     0.837     0.683     0.238     0.067     0.045     1.844     0.831     0.676     0.234     0.064     0.039
NLD  1954     1.876     0.835     0.682     0.246     0.069     0.045     1.849     0.829     0.674     0.241     0.066     0.039
