Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 25/09/2014
Code Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
BLR  1977     2.087     0.970     0.747     0.214     0.079     0.078     2.047     0.965     0.740     0.207     0.073     0.063
BLR  1978     2.065     0.986     0.741     0.197     0.070     0.071     2.031     0.981     0.735     0.191     0.065     0.059
BLR  1979     2.028     0.993     0.731     0.179     0.062     0.063     1.997     0.988     0.725     0.174     0.057     0.053
BLR  1980     2.007     0.988     0.734     0.172     0.054     0.059     1.979     0.984     0.728     0.167     0.050     0.049
BLR  1981     2.008     0.958     0.762     0.181     0.055     0.052     1.980     0.955     0.756     0.175     0.051     0.043
BLR  1982     1.991     0.948     0.756     0.179     0.053     0.054     1.965     0.946     0.751     0.174     0.049     0.045
BLR  1983     2.154     0.965     0.878     0.203     0.055     0.053     2.131     0.963     0.873     0.199     0.051     0.045
BLR  1984     2.096     0.974     0.821     0.198     0.052     0.050     2.072     0.972     0.817     0.193     0.048     0.042
BLR  1985     2.055     0.960     0.805     0.194     0.050     0.047     2.033     0.958     0.800     0.188     0.047     0.040
BLR  1986     2.156     0.990     0.845     0.213     0.056     0.052     2.130     0.987     0.841     0.207     0.052     0.044
BLR  1987     2.086     1.010     0.788     0.189     0.051     0.048     2.061     1.006     0.783     0.184     0.047     0.041
BLR  1988     2.120     1.033     0.811     0.183     0.049     0.044     2.096     1.029     0.806     0.178     0.046     0.037
BLR  1989     2.028     1.029     0.758     0.161     0.042     0.038     2.007     1.025     0.755     0.156     0.039     0.033
BLR  1990     1.913     1.020     0.677     0.141     0.039     0.036     1.896     1.017     0.673     0.138     0.037     0.032
BLR  1991     1.806     1.009     0.597     0.129     0.037     0.033     1.790     1.006     0.593     0.126     0.035     0.029
BLR  1992     1.765     0.988     0.589     0.123     0.035     0.030     1.750     0.985     0.586     0.120     0.033     0.026
BLR  1993     1.624     0.909     0.540     0.114     0.033     0.028     1.610     0.906     0.537     0.111     0.031     0.025
BLR  1994     1.535     0.884     0.491     0.103     0.030     0.026     1.522     0.881     0.488     0.101     0.029     0.023
BLR  1995     1.407     0.826     0.440     0.091     0.027     0.024     1.395     0.823     0.437     0.089     0.025     0.021
BLR  1996     1.335     0.799     0.405     0.084     0.026     0.022     1.324     0.796     0.403     0.081     0.024     0.020
BLR  1997     1.250     0.729     0.391     0.084     0.025     0.021     1.240     0.727     0.389     0.081     0.024     0.019
BLR  1998     1.300     0.744     0.416     0.093     0.026     0.021     1.290     0.742     0.414     0.090     0.025     0.019
BLR  1999     1.311     0.757     0.416     0.090     0.026     0.021     1.300     0.755     0.414     0.087     0.025     0.019
BLR  2000     1.318     0.759     0.427     0.089     0.025     0.019     1.308     0.757     0.425     0.086     0.023     0.017
BLR  2001     1.287     0.731     0.421     0.090     0.026     0.019     1.275     0.729     0.419     0.087     0.024     0.017
BLR  2002     1.241     0.713     0.402     0.086     0.024     0.017     1.230     0.711     0.399     0.083     0.022     0.015
BLR  2003     1.232     0.716     0.394     0.082     0.023     0.017     1.220     0.714     0.390     0.079     0.021     0.015
BLR  2004     1.234     0.717     0.390     0.086     0.023     0.016     1.221     0.715     0.387     0.083     0.021     0.015
BLR  2005     1.253     0.713     0.405     0.092     0.025     0.017     1.240     0.712     0.401     0.089     0.023     0.015
BLR  2006     1.335     0.750     0.438     0.104     0.027     0.017     1.322     0.748     0.434     0.100     0.025     0.015
BLR  2007     1.430     0.773     0.488     0.120     0.029     0.019     1.414     0.771     0.483     0.116     0.027     0.017
BLR  2008     1.488     0.798     0.517     0.125     0.029     0.019     1.471     0.796     0.512     0.120     0.027     0.016
BLR  2009     1.509     0.802     0.536     0.123     0.029     0.019     1.489     0.799     0.530     0.117     0.027     0.016
BLR  2010     1.495     0.774     0.543     0.131     0.029     0.018     1.475     0.771     0.536     0.125     0.027     0.015
BLR  2011     1.516     0.771     0.557     0.141     0.030     0.017     1.495     0.768     0.550     0.135     0.027     0.015
BLR  2012     1.621     0.828     0.592     0.149     0.033     0.018     1.598     0.825     0.584     0.143     0.031     0.015
BGR  1947     2.829     0.957     0.812     0.448     0.246     0.365     2.737     0.953     0.806     0.440     0.236     0.303
BGR  1948     2.875     0.982     0.822     0.446     0.248     0.377     2.782     0.978     0.816     0.438     0.237     0.313
BGR  1949     2.869     0.974     0.830     0.438     0.250     0.377     2.777     0.971     0.824     0.430     0.239     0.314
BGR  1950     2.927     1.008     0.845     0.444     0.252     0.378     2.823     1.004     0.838     0.434     0.239     0.309
BGR  1951     2.424     0.901     0.685     0.355     0.194     0.289     2.348     0.898     0.679     0.347     0.186     0.238
BGR  1952     2.428     0.878     0.729     0.360     0.196     0.265     2.359     0.875     0.725     0.352     0.186     0.220
BGR  1953     2.411     0.908     0.726     0.338     0.184     0.255     2.340     0.905     0.721     0.329     0.174     0.209
BGR  1954     2.360     0.916     0.699     0.327     0.179     0.239     2.295     0.913     0.695     0.320     0.170     0.197
BGR  1955     2.380     0.959     0.715     0.305     0.166     0.235     2.318     0.956     0.712     0.299     0.158     0.193
BGR  1956     2.345     0.982     0.717     0.277     0.148     0.221     2.287     0.980     0.713     0.272     0.141     0.181
BGR  1957     2.254     0.987     0.703     0.244     0.127     0.193     2.206     0.985     0.700     0.241     0.121     0.160
BGR  1958     2.231     0.974     0.729     0.231     0.118     0.178     2.185     0.972     0.726     0.228     0.113     0.146
BGR  1959     2.235     1.022     0.734     0.217     0.106     0.156     2.196     1.020     0.731     0.214     0.102     0.129
BGR  1960     2.312     1.043     0.787     0.229     0.104     0.150     2.274     1.040     0.784     0.226     0.100     0.124
BGR  1961     2.291     1.004     0.825     0.224     0.100     0.138     2.257     1.002     0.822     0.220     0.096     0.116
BGR  1962     2.241     0.959     0.828     0.221     0.099     0.135     2.207     0.956     0.826     0.218     0.095     0.112
BGR  1963     2.211     0.956     0.823     0.214     0.093     0.125     2.181     0.953     0.820     0.211     0.090     0.107
BGR  1964     2.184     0.983     0.785     0.208     0.090     0.118     2.155     0.980     0.783     0.205     0.087     0.100
BGR  1965     2.086     0.945     0.744     0.193     0.086     0.119     2.061     0.942     0.741     0.191     0.084     0.103
BGR  1966     2.025     0.924     0.729     0.183     0.080     0.108     2.002     0.922     0.726     0.181     0.078     0.095
BGR  1967     2.022     0.940     0.721     0.181     0.078     0.101     2.000     0.937     0.718     0.180     0.076     0.089
BGR  1968     2.269     0.989     0.844     0.268     0.076     0.092     2.247     0.986     0.841     0.265     0.074     0.080
BGR  1969     2.268     0.974     0.853     0.282     0.075     0.085     2.248     0.971     0.850     0.279     0.073     0.074
BGR  1970     2.173     0.958     0.812     0.257     0.072     0.075     2.155     0.955     0.809     0.254     0.071     0.066
BGR  1971     2.102     0.959     0.773     0.227     0.072     0.071     2.084     0.957     0.770     0.224     0.071     0.063
BGR  1972     2.028     0.939     0.757     0.201     0.066     0.064     2.011     0.937     0.754     0.198     0.064     0.057
BGR  1973     2.148     0.983     0.830     0.202     0.069     0.064     2.132     0.981     0.828     0.200     0.067     0.057
BGR  1974     2.289     0.975     0.975     0.208     0.068     0.062     2.273     0.973     0.972     0.206     0.067     0.056
BGR  1975     2.226     0.968     0.922     0.210     0.066     0.060     2.211     0.966     0.919     0.208     0.065     0.054
BGR  1976     2.243     1.002     0.897     0.216     0.066     0.062     2.228     0.999     0.894     0.214     0.064     0.056
BGR  1977     2.206     1.002     0.876     0.207     0.064     0.057     2.192     1.000     0.873     0.205     0.062     0.052
BGR  1978     2.149     0.999     0.839     0.196     0.060     0.054     2.137     0.998     0.837     0.194     0.059     0.050
BGR  1979     2.155     1.020     0.826     0.198     0.058     0.054     2.143     1.017     0.823     0.196     0.057     0.049
BGR  1980     2.054     0.992     0.771     0.186     0.055     0.050     2.042     0.990     0.768     0.184     0.054     0.046
BGR  1981     2.003     0.981     0.745     0.176     0.054     0.048     1.992     0.978     0.743     0.174     0.052     0.044
BGR  1982     2.012     0.979     0.760     0.172     0.054     0.047     2.002     0.977     0.758     0.170     0.053     0.043
BGR  1983     2.006     0.942     0.789     0.176     0.053     0.046     1.996     0.940     0.787     0.174     0.052     0.043
BGR  1984     2.009     0.937     0.794     0.179     0.053     0.046     1.999     0.936     0.792     0.177     0.052     0.043
BGR  1985     1.978     0.924     0.772     0.181     0.054     0.047     1.968     0.922     0.770     0.179     0.053     0.044
BGR  1986     2.019     0.946     0.804     0.177     0.049     0.044     2.009     0.944     0.802     0.174     0.048     0.042
BGR  1987     1.965     0.916     0.790     0.170     0.047     0.041     1.955     0.914     0.788     0.168     0.046     0.039
BGR  1988     1.972     0.913     0.799     0.170     0.048     0.041     1.962     0.911     0.797     0.168     0.047     0.039
BGR  1989     1.889     0.899     0.740     0.163     0.047     0.040     1.880     0.897     0.738     0.161     0.046     0.037
BGR  1990     1.787     0.882     0.671     0.150     0.045     0.038     1.778     0.880     0.669     0.149     0.044     0.036
BGR  1991     1.644     0.880     0.561     0.127     0.040     0.035     1.636     0.878     0.559     0.125     0.039     0.034
BGR  1992     1.544     0.853     0.504     0.112     0.039     0.035     1.534     0.851     0.502     0.110     0.038     0.032
BGR  1993     1.466     0.793     0.491     0.105     0.040     0.037     1.456     0.791     0.489     0.103     0.039     0.035
BGR  1994     1.378     0.733     0.470     0.099     0.038     0.038     1.370     0.732     0.468     0.098     0.037     0.036
BGR  1995     1.249     0.672     0.427     0.088     0.030     0.031     1.241     0.670     0.425     0.086     0.030     0.030
BGR  1996     1.257     0.675     0.431     0.088     0.031     0.032     1.248     0.673     0.430     0.086     0.030     0.030
BGR  1997     1.122     0.647     0.347     0.074     0.027     0.028     1.114     0.644     0.345     0.072     0.026     0.026
BGR  1998     1.152     0.671     0.362     0.069     0.025     0.026     1.144     0.668     0.360     0.068     0.024     0.024
BGR  1999     1.284     0.719     0.408     0.090     0.034     0.034     1.276     0.717     0.407     0.088     0.033     0.032
BGR  2000     1.322     0.768     0.400     0.085     0.034     0.034     1.312     0.764     0.398     0.084     0.033     0.032
BGR  2001     1.236     0.721     0.367     0.083     0.032     0.032     1.226     0.719     0.365     0.081     0.031     0.031
BGR  2002     1.213     0.691     0.375     0.084     0.031     0.031     1.204     0.689     0.373     0.083     0.030     0.029
BGR  2003     1.234     0.712     0.376     0.083     0.032     0.032     1.224     0.708     0.374     0.081     0.031     0.030
BGR  2004     1.287     0.747     0.385     0.089     0.033     0.032     1.276     0.744     0.383     0.087     0.032     0.030
BGR  2005     1.314     0.772     0.396     0.082     0.032     0.032     1.303     0.769     0.393     0.080     0.031     0.030
BGR  2006     1.378     0.815     0.415     0.084     0.031     0.033     1.366     0.811     0.412     0.082     0.030     0.032
BGR  2007     1.417     0.818     0.447     0.086     0.031     0.035     1.402     0.813     0.443     0.084     0.030     0.033
BGR  2008     1.479     0.856     0.473     0.089     0.029     0.032     1.463     0.850     0.467     0.086     0.029     0.030
BGR  2009     1.567     0.870     0.525     0.101     0.034     0.037     1.548     0.864     0.518     0.098     0.033     0.035
CAN  1944     2.998     0.883     0.687     0.435     0.279     0.714     2.819     0.875     0.676     0.422     0.265     0.581
CAN  1945     2.999     0.859     0.691     0.448     0.284     0.717     2.816     0.851     0.680     0.434     0.270     0.581
CAN  1946     3.359     1.033     0.796     0.498     0.304     0.728     3.172     1.023     0.784     0.484     0.290     0.593
CAN  1947     3.580     1.173     0.853     0.526     0.317     0.711     3.397     1.162     0.840     0.510     0.302     0.582
CAN  1948     3.421     1.026     0.850     0.530     0.321     0.694     3.246     1.016     0.838     0.515     0.305     0.572
CAN  1949     3.440     0.980     0.879     0.559     0.332     0.690     3.270     0.971     0.866     0.543     0.316     0.574
CAN  1950     3.431     0.954     0.867     0.577     0.344     0.689     3.267     0.945     0.855     0.562     0.327     0.578
CAN  1951     3.478     0.976     0.866     0.591     0.360     0.685     3.313     0.967     0.854     0.574     0.344     0.576
CAN  1952     3.624     1.033     0.873     0.625     0.387     0.705     3.461     1.024     0.861     0.609     0.370     0.597
CAN  1953     3.702     1.044     0.901     0.640     0.399     0.718     3.538     1.034     0.888     0.622     0.381     0.612
CAN  1954     3.815     1.069     0.919     0.661     0.414     0.753     3.642     1.060     0.906     0.642     0.395     0.640
CAN  1955     3.820     1.047     0.916     0.669     0.427     0.761     3.649     1.038     0.903     0.652     0.407     0.649
CAN  1956     3.841     1.043     0.920     0.676     0.433     0.769     3.677     1.035     0.909     0.659     0.415     0.660
CAN  1957     3.930     1.082     0.928     0.694     0.445     0.782     3.766     1.074     0.916     0.676     0.426     0.673
CAN  1958     3.893     1.062     0.920     0.684     0.448     0.779     3.739     1.055     0.909     0.669     0.429     0.677
CAN  1959     3.943     1.052     0.940     0.699     0.462     0.790     3.791     1.045     0.930     0.683     0.443     0.689
CAN  1960     3.909     1.025     0.925     0.706     0.461     0.792     3.759     1.018     0.916     0.691     0.443     0.692
CAN  1961     3.853     0.988     0.902     0.701     0.464     0.798     3.702     0.982     0.892     0.686     0.446     0.696
CAN  1962     3.770     0.953     0.882     0.683     0.461     0.791     3.626     0.947     0.873     0.669     0.444     0.693
CAN  1963     3.680     0.932     0.854     0.672     0.449     0.773     3.544     0.926     0.846     0.659     0.433     0.681
CAN  1964     3.512     0.918     0.827     0.640     0.422     0.705     3.378     0.913     0.818     0.626     0.405     0.616
CAN  1965     3.149     0.879     0.750     0.555     0.365     0.600     3.031     0.874     0.742     0.542     0.350     0.523
CAN  1966     2.815     0.857     0.697     0.477     0.300     0.485     2.712     0.852     0.689     0.467     0.287     0.418
CAN  1967     2.596     0.852     0.662     0.424     0.258     0.400     2.509     0.848     0.656     0.414     0.246     0.345
CAN  1968     2.455     0.843     0.652     0.396     0.227     0.337     2.379     0.839     0.646     0.388     0.217     0.290
CAN  1969     2.404     0.840     0.653     0.391     0.216     0.304     2.336     0.836     0.647     0.383     0.207     0.263
CAN  1970     2.312     0.838     0.639     0.376     0.196     0.264     2.251     0.834     0.634     0.368     0.187     0.227
CAN  1971     2.138     0.794     0.617     0.341     0.171     0.216     2.088     0.790     0.612     0.335     0.165     0.187
CAN  1972     1.965     0.758     0.601     0.301     0.140     0.165     1.924     0.755     0.596     0.296     0.135     0.142
CAN  1973     1.875     0.755     0.601     0.276     0.117     0.126     1.842     0.752     0.598     0.271     0.112     0.108
CAN  1974     1.830     0.753     0.609     0.266     0.104     0.098     1.801     0.750     0.606     0.262     0.100     0.084
CAN  1975     1.832     0.755     0.621     0.273     0.099     0.084     1.806     0.752     0.618     0.269     0.096     0.072
CAN  1976     1.782     0.735     0.620     0.265     0.090     0.071     1.759     0.733     0.616     0.262     0.087     0.061
CAN  1977     1.750     0.748     0.604     0.258     0.082     0.058     1.731     0.746     0.600     0.255     0.079     0.050
CAN  1978     1.697     0.730     0.591     0.248     0.077     0.051     1.678     0.727     0.588     0.245     0.074     0.044
CAN  1979     1.695     0.727     0.591     0.256     0.076     0.046     1.678     0.725     0.588     0.253     0.073     0.040
CAN  1980     1.680     0.734     0.584     0.248     0.073     0.041     1.664     0.732     0.581     0.245     0.071     0.036
CAN  1981     1.652     0.727     0.572     0.241     0.072     0.040     1.635     0.725     0.569     0.238     0.069     0.035
CAN  1982     1.637     0.725     0.561     0.239     0.072     0.039     1.621     0.722     0.558     0.236     0.070     0.034
CAN  1983     1.621     0.721     0.559     0.234     0.070     0.036     1.606     0.719     0.555     0.231     0.068     0.032
CAN  1984     1.625     0.713     0.571     0.236     0.070     0.036     1.610     0.710     0.567     0.233     0.068     0.032
CAN  1985     1.611     0.701     0.569     0.236     0.070     0.034     1.595     0.699     0.565     0.232     0.068     0.031
CAN  1986     1.594     0.695     0.562     0.234     0.069     0.034     1.578     0.692     0.558     0.230     0.067     0.030
CAN  1987     1.576     0.688     0.558     0.229     0.068     0.034     1.559     0.684     0.554     0.225     0.066     0.030
CAN  1988     1.599     0.712     0.555     0.231     0.068     0.034     1.581     0.708     0.550     0.227     0.066     0.031
CAN  1989     1.659     0.746     0.567     0.240     0.071     0.034     1.640     0.742     0.563     0.236     0.069     0.031
CAN  1990     1.715     0.779     0.586     0.242     0.073     0.036     1.696     0.774     0.580     0.238     0.070     0.033
CAN  1991     1.714     0.775     0.584     0.244     0.074     0.036     1.694     0.771     0.578     0.240     0.072     0.033
CAN  1992     1.711     0.765     0.594     0.243     0.073     0.037     1.690     0.760     0.587     0.238     0.070     0.034
CAN  1993     1.682     0.755     0.583     0.236     0.072     0.037     1.660     0.750     0.576     0.231     0.069     0.034
CAN  1994     1.685     0.755     0.586     0.235     0.073     0.038     1.662     0.749     0.579     0.230     0.070     0.034
CAN  1995     1.670     0.749     0.580     0.230     0.072     0.038     1.645     0.743     0.573     0.225     0.069     0.035
CAN  1996     1.631     0.729     0.569     0.225     0.071     0.038     1.605     0.723     0.561     0.220     0.068     0.034
CAN  1997     1.567     0.697     0.554     0.213     0.067     0.037     1.540     0.690     0.545     0.208     0.064     0.033
CAN  1998     1.556     0.694     0.553     0.207     0.065     0.037     1.529     0.687     0.544     0.202     0.062     0.033
CAN  1999     1.544     0.696     0.543     0.205     0.064     0.037     1.515     0.689     0.534     0.199     0.061     0.033
CAN  2000     1.508     0.682     0.525     0.200     0.063     0.037     1.477     0.675     0.515     0.194     0.060     0.033
CAN  2001     1.536     0.683     0.552     0.201     0.063     0.037     1.505     0.675     0.542     0.195     0.059     0.033
CAN  2002     1.513     0.679     0.536     0.197     0.063     0.038     1.481     0.672     0.525     0.191     0.060     0.034
CAN  2003     1.542     0.702     0.538     0.201     0.063     0.039     1.508     0.693     0.527     0.195     0.059     0.035
CAN  2004     1.548     0.706     0.541     0.200     0.063     0.038     1.512     0.697     0.529     0.193     0.060     0.034
CAN  2005     1.566     0.710     0.549     0.203     0.065     0.040     1.529     0.700     0.536     0.196     0.061     0.036
CAN  2006     1.613     0.725     0.572     0.208     0.067     0.041     1.573     0.714     0.558     0.200     0.064     0.037
CAN  2007     1.657     0.738     0.585     0.220     0.070     0.044     1.614     0.727     0.570     0.211     0.066     0.039
CAN  2008     1.680     0.742     0.592     0.226     0.074     0.046     1.634     0.730     0.576     0.217     0.070     0.041
CAN  2009     1.669     0.735     0.585     0.227     0.075     0.047     1.619     0.722     0.568     0.217     0.071     0.041
CHL  1992     2.499     0.978     0.779     0.436     0.174     0.131     2.419     0.970     0.764     0.417     0.160     0.108
CHL  1993     2.442     0.972     0.766     0.428     0.167     0.109     2.361     0.963     0.752     0.406     0.152     0.088
CHL  1994     2.394     0.954     0.723     0.412     0.183     0.122     2.318     0.947     0.710     0.392     0.168     0.101
CHL  1995     2.307     0.939     0.694     0.391     0.171     0.112     2.233     0.933     0.682     0.372     0.155     0.092
CHL  1996     2.271     0.942     0.688     0.378     0.162     0.102     2.199     0.935     0.676     0.359     0.146     0.083
CHL  1997     2.210     0.928     0.671     0.365     0.152     0.093     2.138     0.920     0.659     0.346     0.137     0.077
CHL  1998     2.173     0.912     0.669     0.358     0.148     0.086     2.103     0.905     0.656     0.338     0.134     0.070
CHL  1999     2.105     0.880     0.657     0.347     0.138     0.081     2.037     0.874     0.645     0.328     0.125     0.066
CHL  2000     2.084     0.872     0.651     0.344     0.140     0.078     2.016     0.865     0.638     0.324     0.125     0.064
CHL  2001     2.053     0.855     0.652     0.341     0.130     0.074     1.985     0.848     0.639     0.321     0.116     0.060
CHL  2002     1.987     0.829     0.635     0.329     0.127     0.067     1.918     0.822     0.621     0.308     0.113     0.054
CHL  2003     1.943     0.797     0.629     0.331     0.123     0.064     1.874     0.789     0.615     0.310     0.108     0.051
CHL  2004     1.908     0.795     0.621     0.318     0.117     0.057     1.838     0.788     0.606     0.296     0.102     0.045
CHL  2005     1.894     0.795     0.615     0.314     0.114     0.056     1.825     0.787     0.601     0.292     0.100     0.044
CZE  1950     2.799     1.040     0.833     0.460     0.222     0.245     2.707     1.032     0.820     0.442     0.207     0.205
CZE  1951     2.769     1.044     0.807     0.450     0.223     0.245     2.683     1.037     0.795     0.434     0.208     0.208
CZE  1952     2.711     1.037     0.780     0.434     0.222     0.238     2.631     1.031     0.770     0.419     0.208     0.202
CZE  1953     2.624     0.978     0.769     0.428     0.215     0.233     2.546     0.973     0.759     0.413     0.202     0.198
CZE  1954     2.593     0.961     0.786     0.413     0.206     0.228     2.522     0.956     0.778     0.399     0.194     0.195
CZE  1955     2.590     0.967     0.792     0.408     0.201     0.222     2.520     0.962     0.784     0.396     0.190     0.189
CZE  1956     2.580     0.990     0.788     0.392     0.194     0.215     2.517     0.986     0.781     0.380     0.183     0.187
CZE  1957     2.505     0.989     0.764     0.369     0.179     0.204     2.452     0.985     0.758     0.360     0.170     0.179
CZE  1958     2.314     0.956     0.742     0.327     0.138     0.151     2.277     0.953     0.737     0.320     0.132     0.134
CZE  1959     2.128     0.947     0.710     0.271     0.099     0.101     2.101     0.944     0.707     0.266     0.095     0.090
CZE  1960     2.121     0.959     0.706     0.264     0.095     0.097     2.097     0.956     0.703     0.260     0.091     0.087
CZE  1961     2.140     0.971     0.725     0.265     0.090     0.089     2.116     0.968     0.722     0.260     0.087     0.079
CZE  1962     2.152     0.973     0.738     0.275     0.086     0.081     2.131     0.970     0.735     0.271     0.082     0.072
CZE  1963     2.353     1.018     0.828     0.317     0.097     0.092     2.331     1.016     0.825     0.313     0.094     0.083
CZE  1964     2.384     1.002     0.839     0.342     0.106     0.095     2.359     0.999     0.835     0.337     0.103     0.085
CZE  1965     2.209     0.933     0.777     0.303     0.102     0.094     2.185     0.931     0.774     0.298     0.098     0.084
CZE  1966     2.040     0.892     0.715     0.261     0.087     0.085     2.021     0.890     0.712     0.257     0.084     0.077
CZE  1967     1.929     0.887     0.667     0.227     0.074     0.075     1.912     0.885     0.664     0.224     0.071     0.068
CZE  1968     1.860     0.883     0.638     0.204     0.069     0.066     1.844     0.881     0.636     0.202     0.067     0.060
CZE  1969     1.893     0.904     0.649     0.207     0.069     0.065     1.878     0.902     0.646     0.204     0.066     0.059
CZE  1970     1.920     0.916     0.682     0.203     0.063     0.057     1.905     0.914     0.679     0.200     0.060     0.051
CZE  1971     1.980     0.926     0.732     0.208     0.063     0.051     1.966     0.924     0.730     0.205     0.061     0.045
CZE  1972     2.077     0.933     0.801     0.229     0.063     0.051     2.064     0.932     0.799     0.226     0.061     0.046
CZE  1973     2.291     0.954     0.942     0.273     0.071     0.052     2.276     0.952     0.940     0.270     0.068     0.047
CZE  1974     2.440     1.010     0.994     0.311     0.076     0.049     2.426     1.008     0.992     0.308     0.073     0.044
CZE  1975     2.412     1.012     0.966     0.316     0.073     0.044     2.397     1.011     0.964     0.313     0.070     0.040
CZE  1976     2.372     1.003     0.938     0.314     0.074     0.043     2.358     1.001     0.936     0.311     0.072     0.039
CZE  1977     2.329     0.991     0.919     0.307     0.072     0.040     2.316     0.989     0.917     0.303     0.070     0.036
CZE  1978     2.335     1.000     0.914     0.311     0.072     0.038     2.322     0.998     0.912     0.308     0.069     0.035
CZE  1979     2.298     0.987     0.899     0.310     0.068     0.034     2.286     0.985     0.896     0.307     0.066     0.031
CZE  1980     2.108     0.939     0.814     0.263     0.061     0.031     2.097     0.938     0.813     0.260     0.059     0.028
